trial_num,prime,target,foil1,foil2,prime_target_obj_index,prime_target_subj_index,condition
1,semantic/ListA/walrus.jpg,semantic/ListA/cougar.jpg,semantic/ListA/walnuts.jpg,semantic/ListA/stove.jpg,0.7452575,strong,E
2,semantic/ListA/earring.jpg,semantic/ListA/scarf.jpg,semantic/ListA/shovel.jpg,semantic/ListA/flute.jpg,0.42778197,medium,D
3,semantic/ListA/falcon.jpg,semantic/ListA/mosquito.jpg,semantic/ListA/kettle.jpg,semantic/ListA/hook.jpg,0.35063612,medium,D
4,semantic/ListA/stick.jpg,semantic/ListA/bow.jpg,semantic/ListA/tissue.jpg,semantic/ListA/trap.jpg,0.80226904,strong,E
5,semantic/ListA/bread.jpg,semantic/ListA/biscuit.jpg,semantic/ListA/dart.jpg,semantic/ListA/fly.jpg,0.94906795,strong,E
6,semantic/ListA/jar.jpg,semantic/ListA/vase.jpg,semantic/ListA/juice.jpg,semantic/ListA/igloo.jpg,0.90745705,strong,E
7,semantic/ListA/chimpanzee.jpg,semantic/ListA/orangutan.jpg,semantic/ListA/milk.jpg,semantic/ListA/hammer.jpg,0.7437302,strong,E
8,semantic/ListA/faucet.jpg,semantic/ListA/hose.jpg,semantic/ListA/knife.jpg,semantic/ListA/thermometer.jpg,0.39054054,medium,D
9,semantic/ListA/armadillo.jpg,semantic/ListA/skunk.jpg,semantic/ListA/mask.jpg,semantic/ListA/lantern.jpg,0.7060736,strong,E
10,semantic/ListA/pencil.jpg,semantic/ListA/paintbrush.jpg,semantic/ListA/brush.jpg,semantic/ListA/button.jpg,0.48814768,medium,D
11,semantic/ListA/asparagus.jpg,semantic/ListA/avocado.jpg,semantic/ListA/bus.jpg,semantic/ListA/fan.jpg,0.847801,strong,E
12,semantic/ListA/beetle.jpg,semantic/ListA/wasp.jpg,semantic/ListA/raincoat.jpg,semantic/ListA/necklace.jpg,0.7940909,strong,E
13,semantic/ListA/rope.jpg,semantic/ListA/ladder.jpg,semantic/ListA/blanket.jpg,semantic/ListA/dynamite.jpg,0.49127808,medium,D
14,semantic/ListA/eagle.jpg,semantic/ListA/iguana.jpg,semantic/ListA/cow.jpg,semantic/ListA/ball.jpg,0.54328805,medium,D
15,semantic/ListA/goose.jpg,semantic/ListA/caterpillar.jpg,semantic/ListA/raisins.jpg,semantic/ListA/nutcracker.jpg,0.47478345,medium,D
16,semantic/ListA/fox.jpg,semantic/ListA/hippopotamus.jpg,semantic/ListA/domino.jpg,semantic/ListA/cricket.jpg,0.4193175,medium,D
