trial_num,stimulus_1,stimulus_2,stimulus_3,condition
30,tasks/spatial/Spatial_symbolic/Spatial_ListA/gold.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/pineapple.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/honey.jpg,D
31,tasks/spatial/Spatial_symbolic/Spatial_ListA/goggles.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/pigeon.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/hanger.jpg,E
32,tasks/spatial/Spatial_symbolic/Spatial_ListA/gargoyle.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/gecko.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/gerbil.jpg,E
33,tasks/spatial/Spatial_symbolic/Spatial_ListA/funnel.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/pepper.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/globe.jpg,D
34,tasks/spatial/Spatial_symbolic/Spatial_ListA/frame.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/raccoon.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/gate.jpg,D
35,tasks/spatial/Spatial_symbolic/Spatial_ListA/flamingo.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/pillow.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/flask.jpg,D
36,tasks/spatial/Spatial_symbolic/Spatial_ListA/envelope.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/rabbit.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/eraser.jpg,E
37,tasks/spatial/Spatial_symbolic/Spatial_ListA/engine.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/robin.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/ferret.jpg,D
38,tasks/spatial/Spatial_symbolic/Spatial_ListA/earphones.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/fawn.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/fern.jpg,E
39,tasks/spatial/Spatial_symbolic/Spatial_ListA/earmuffs.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/eggbeater.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/emerald.jpg,D
40,tasks/spatial/Spatial_symbolic/Spatial_ListA/duck.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/plate.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/easel.jpg,D
41,tasks/spatial/Spatial_symbolic/Spatial_ListA/dodo.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/donut.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/dragonfly.jpg,E
42,tasks/spatial/Spatial_symbolic/Spatial_ListA/dinosaur.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/racket.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/dumbbell.jpg,E
43,tasks/spatial/Spatial_symbolic/Spatial_ListA/dice.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/sausages.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/dustpan.jpg,E
44,tasks/spatial/Spatial_symbolic/Spatial_ListA/cotton.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/quiver.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/doll.jpg,D
45,tasks/spatial/Spatial_symbolic/Spatial_ListA/container.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/rack.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/desk.jpg,E
46,tasks/spatial/Spatial_symbolic/Spatial_ListA/clownfish.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/corkscrew.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/decanter.jpg,E
47,tasks/spatial/Spatial_symbolic/Spatial_ListA/clarinet.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/rowboat.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/dagger.jpg,D
48,tasks/spatial/Spatial_symbolic/Spatial_ListA/chocolate.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/saxophone.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/corn.jpg,E
49,tasks/spatial/Spatial_symbolic/Spatial_ListA/candle.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/watch.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/coat.jpg,E
50,tasks/spatial/Spatial_symbolic/Spatial_ListA/can.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/cart.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/chinchilla.jpg,E
51,tasks/spatial/Spatial_symbolic/Spatial_ListA/bricks.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/tire.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/bucket.jpg,E
52,tasks/spatial/Spatial_symbolic/Spatial_ListA/basket.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/toothbrush.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/blocks.jpg,E
53,tasks/spatial/Spatial_symbolic/Spatial_ListA/barbecue.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/waffles.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/bicycle.jpg,D
54,tasks/spatial/Spatial_symbolic/Spatial_ListA/bacon.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/zucchini.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/chessboard.jpg,D
55,tasks/spatial/Spatial_symbolic/Spatial_ListA/ant-eater.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/axe.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/baseball.jpg,D
56,tasks/spatial/Spatial_symbolic/Spatial_ListA/abacus.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/acorn.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/angel.jpg,D
