trial_num,stimulus_1,stimulus_2,stimulus_3,condition
29,tasks/spatial/Spatial_symbolic/Spatial_ListA/monkey.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/onion.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/moose.jpg,E
30,tasks/spatial/Spatial_symbolic/Spatial_ListA/abacus.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/acorn.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/angel.jpg,D
31,tasks/spatial/Spatial_symbolic/Spatial_ListA/ant-eater.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/axe.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/baseball.jpg,D
32,tasks/spatial/Spatial_symbolic/Spatial_ListA/can.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/cart.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/chinchilla.jpg,D
33,tasks/spatial/Spatial_symbolic/Spatial_ListA/clownfish.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/corkscrew.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/decanter.jpg,E
34,tasks/spatial/Spatial_symbolic/Spatial_ListA/dodo.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/donut.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/dragonfly.jpg,D
35,tasks/spatial/Spatial_symbolic/Spatial_ListA/earmuffs.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/eggbeater.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/emerald.jpg,E
36,tasks/spatial/Spatial_symbolic/Spatial_ListA/earphones.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/fawn.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/fern.jpg,E
37,tasks/spatial/Spatial_symbolic/Spatial_ListA/gargoyle.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/gecko.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/gerbil.jpg,E
38,tasks/spatial/Spatial_symbolic/Spatial_ListA/hatchet.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/hedgehog.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/hoodie.jpg,D
39,tasks/spatial/Spatial_symbolic/Spatial_ListA/hotdog.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/hummingbird.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/jaguar.jpg,D
40,tasks/spatial/Spatial_symbolic/Spatial_ListA/joystick.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/kale.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/ladybug.jpg,D
41,tasks/spatial/Spatial_symbolic/Spatial_ListA/lamprey.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/lute.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/magnet.jpg,E
42,tasks/spatial/Spatial_symbolic/Spatial_ListA/mandolin.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/medal.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/millipede.jpg,E
43,tasks/spatial/Spatial_symbolic/Spatial_ListA/money.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/mongoose.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/motorcycle.jpg,D
44,tasks/spatial/Spatial_symbolic/Spatial_ListA/nautilus.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/net.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/pancakes.jpg,D
45,tasks/spatial/Spatial_symbolic/Spatial_ListA/orca.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/parka.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/quartz.jpg,E
