1	3
2	1
3	4
4	5
5	4
6	2
7	2
8	5
9	3
10	2
11	4
12	2
13	1
14	2
15	2
16	1
17	4
18	5
19	1
20	1
21	4
22	1
23	4
24	1
25	5
26	4
27	1
28	4
29	4
30	4
31	2
32	4
33	1
34	2
35	4
36	2
37	3
38	5
39	5
40	3
41	3
42	3
43	4
44	1
45	2
46	5
47	1
48	3
49	2
50	5
51	3
52	1
53	2
54	5
55	1
56	3
57	1
58	3
59	4
60	5
61	1
62	3
63	5
64	4
65	4
66	1
67	4
68	1
69	1
70	2
71	3
72	5
73	3
74	3
75	1
76	2
77	3
78	3
79	4
80	5
81	1
82	2
83	5
84	5
85	1
86	1
87	1
88	4
89	1
90	1
91	4
92	2
93	4
94	3
95	1
96	1
97	2
98	5
99	5
100	2
101	2
102	1
103	3
104	2
105	2
106	5
107	1
108	1
109	2
110	3
111	2
112	2
113	2
114	3
115	4
116	3
117	4
118	3
119	5
120	4
121	5
122	2
123	2
124	2
125	4
126	3
127	1
128	3
129	4
130	4
131	2
132	5
133	5
134	3
135	5
136	1
137	5
138	1
139	5
140	2
141	2
142	2
143	3
144	4
145	2
146	5
147	5
148	1
149	3
150	2
151	5
152	1
153	1
154	3
155	2
156	4
157	3
158	3
159	1
160	3
161	5
162	5
163	3
164	4
165	4
166	4
167	5
168	2
169	2
170	4
171	4
172	3
173	1
174	5
175	4
176	2
177	1
178	3
179	3
180	5
181	5
182	3
183	4
184	3
185	5
186	3
187	4
188	5
189	5
190	4
191	3
192	5
