1	1
2	1
3	1
4	5
5	5
6	2
7	3
8	2
9	4
10	5
11	3
12	1
13	4
14	5
15	4
16	1
17	3
18	4
19	2
20	2
21	2
22	4
23	3
24	5
25	5
26	3
27	2
28	1
29	5
30	4
31	1
32	2
33	4
34	2
35	4
36	4
37	3
38	1
39	2
40	3
41	3
42	2
43	4
44	3
45	2
46	1
47	3
48	4
49	3
50	3
51	4
52	1
53	4
54	1
55	4
56	3
57	1
58	4
59	4
60	3
61	5
62	1
63	2
64	5
65	3
66	5
67	5
68	2
69	4
70	2
71	4
72	3
73	3
74	4
75	1
76	4
77	3
78	1
79	5
80	3
81	2
82	4
83	1
84	5
85	1
86	1
87	1
88	2
89	4
90	5
91	3
92	3
93	1
94	1
95	5
96	3
97	5
98	3
99	3
100	2
101	1
102	2
103	3
104	5
105	5
106	5
107	2
108	5
109	5
110	5
111	3
112	5
113	3
114	5
115	3
116	2
117	5
118	5
119	4
120	2
121	4
122	5
123	2
124	1
125	1
126	2
127	5
128	1
129	1
130	1
131	5
132	5
133	4
134	3
135	4
136	4
137	2
138	1
139	3
140	1
141	2
142	1
143	5
144	4
145	4
146	1
147	1
148	2
149	1
150	1
151	4
152	2
153	3
154	3
155	4
156	5
157	2
158	4
159	2
160	5
161	2
162	2
163	4
164	2
165	4
166	1
167	2
168	3
169	4
170	2
171	1
172	1
173	3
174	3
175	1
176	4
177	5
178	3
179	2
180	2
181	1
182	2
183	5
184	5
185	4
186	5
187	3
188	3
189	5
190	3
191	2
192	4
