trial_number,prime,target,dist1,dist2,semstr,semstr_category,list_AB
1,arm,bracelet,cradle,cane,0.04,1,B
2,ballet,jazz,sting,latch,0.01,1,B
3,bed,dresser,shingle,mop,0.01,1,B
4,beer,jug,rat,leg,0.04,1,B
5,boat,compass,sprain,mower,0.01,1,B
6,bone,fossil,suede,kettle,0.15,1,B
7,cat,paw,cork,keyboard,0.02,1,B
8,chalk,crayon,mustard,luggage,0.07,1,B
9,church,organ,yolk,square,0.03,1,B
10,donkey,camel,margarine,tablet,0.01,1,B
11,dream,hope,camel,alarm,0.062,1,B
12,gold,chain,coyote,dusk,0.08,1,B
13,hand,paw ,grape,sand,0.08,1,B
14,hell,sky,cushion,cookie,0.02,1,B
15,hospital,tweezers,grill,duck,0.03,1,B
16,iron,appliance,ewe,stethoscope,0.01,1,B
17,jar,pint,cabbage,prison,0.01,1,B
18,leather,backpack,step,oven,0.01,1,B
19,leg,therapy,cello,porcelain,0.01,1,B
20,letter,symbol,alarm,mustard,0.02,1,B
21,liberty,justice,conditioner,bumper,0.02,1,B
22,lion,bear,razor,steel,0.02,1,B
23,moose,bison,lime,straw,0.01,1,B
24,name,theme,juice,lime,0.01,1,B
25,part,branch,tortoise,sting,0.02,1,B
26,pen,stapler,icing,problem,0.01,1,B
27,pin,thimble,king,flush,0.01,1,B
28,plane,missile,shield,hammer,0.01,1,B
29,poem,rhythm,jam,sheep,0.01,1,B
30,queen,gown,squid,trumpet,0.02,1,B
31,roof,shelter,nightmare,mule,0.01,1,B
32,rose,vase,crown,fork,0.03,1,B
33,salt,sardine,shears,crown,0.02,1,B
34,scissors,scalpel,vessel,tusk,0.01,1,B
35,snow,wind,clam,message,0.01,1,B
36,stomach,nausea,folder,tractor,0.03,1,B
37,stove,teapot,dusk,cage,0.01,1,B
38,stripe,skunk,pitchfork,message,0.02,1,B
39,water,swan,steel,feathers,0.01,1,B
40,wheat,hay,splinter,vessel,0.01,1,B
41,baby,cradle,stairs,sunrise,0.68,2,B
42,cards,ace,camel,gate,0.3,2,B
43,carrot,celery,dice,star,0.22,2,B
44,chicken,egg,couch,bass,0.27,2,B
45,clam,mussel,lice,piece,0.3,2,B
46,dawn,dusk,clock,toy,0.61,2,B
47,desert,camel,stalk,biscuit,0.28,2,B
48,duck,goose,zenith,wheat,0.26,2,B
49,friend,pal,shampoo,shelter,0.77,2,B
50,guitar,banjo,starch,pest,0.38,2,B
51,horn,trumpet,toy,squid,0.25,2,B
52,house,brick,flame,bucket,0.4,2,B
53,ice-cream,scoop,therapy,mole,0.41,2,B
54,knight,armour,mushroom,mirror,0.29,2,B
55,lamb,ewe,lip,wicker,0.4,2,B
56,meat,butcher,mosquito,onion,0.48,2,B
57,money,coin,gloves,mission,0.44,2,B
58,mouse,rat,intestine,yarn,0.32,2,B
59,movie,film,protein,maggot,0.54,2,B
60,muffin,blueberry,proof,monarch,0.33,2,B
61,noise,sound,monarch,polish,0.36,2,B
62,noun,verb,kite,fruit,0.64,2,B
63,ocean,waves,symbol,sentence,0.5,2,B
64,pancakes,syrup,truck,threat,0.5,2,B
65,plant,seed,leather,robe,0.44,2,B
66,pot,pan,bucket,wound,0.35,2,B
67,rat,rodent,apron,bath,0.6,2,B
68,shark,jaws,kidney,luggage,0.59,2,B
69,shirt,blouse,portion,root,0.65,2,B
70,shower,bath,salad,dresser,0.33,2,B
71,skirt,pleat,desk,vegetable,0.58,2,B
72,smell,odour,box,tweezers,0.7,2,B
73,sock,shoe,scissors,snorkel,0.21,2,B
74,sound,tone,seed,heritage,0.2,2,B
75,stick,drum,axe,swing,0.25,2,B
76,sun,horizon,ant,axe,0.41,2,B
77,tea,kettle,polish,incense,0.22,2,B
78,tree,branch,snorkel,volcano,0.64,2,B
79,winter,summer,ivy,biscuit,0.4,2,B
80,train,station,vase,zenith,0.32,2,B
81,xxxx,xxxx,xxxx,xxxx,0,0,B
82,xxxx,xxxx,xxxx,xxxx,0,0,B
83,xxxx,xxxx,xxxx,xxxx,0,0,B
84,xxxx,xxxx,xxxx,xxxx,0,0,B
85,xxxx,xxxx,xxxx,xxxx,0,0,B
86,xxxx,xxxx,xxxx,xxxx,0,0,B
87,xxxx,xxxx,xxxx,xxxx,0,0,B
88,xxxx,xxxx,xxxx,xxxx,0,0,B
89,xxxx,xxxx,xxxx,xxxx,0,0,B
90,xxxx,xxxx,xxxx,xxxx,0,0,B
91,xxxx,xxxx,xxxx,xxxx,0,0,B
92,xxxx,xxxx,xxxx,xxxx,0,0,B
93,xxxx,xxxx,xxxx,xxxx,0,0,B
94,xxxx,xxxx,xxxx,xxxx,0,0,B
95,xxxx,xxxx,xxxx,xxxx,0,0,B
96,xxxx,xxxx,xxxx,xxxx,0,0,B
97,xxxx,xxxx,xxxx,xxxx,0,0,B
98,xxxx,xxxx,xxxx,xxxx,0,0,B
99,xxxx,xxxx,xxxx,xxxx,0,0,B
100,xxxx,xxxx,xxxx,xxxx,0,0,B
