trial_num,prime,target,foil1,foil2
23,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cheese.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/towel.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/razor.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lamp.jpg
24,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cucumber.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/rhinoceros.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/suitcase.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/keys.jpg
25,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/tape.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/whale.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/ring.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/horse.jpg
26,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/couch.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/strawberry.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/rose.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/hat.jpg
27,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/salmon.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/earth.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/scissors.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bed.jpg
28,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/octopus.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/phone.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/shoe.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/goldfish.jpg
29,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/horse.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lock.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/shorts.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/glasses.jpg
30,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/camera.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/vulture.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/slippers.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/fork.jpg
31,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/popcorn.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cactus.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/snake.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/eel.jpg
32,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/shackles.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/anchor.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/sock.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/dog.jpg
33,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lamp.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/rake.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/spoon.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cup.jpg
34,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/comb.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/pig.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/strawberry.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cucumber.jpg
35,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/pickle.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/barbell.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/rhinoceros.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/crocodile.jpg
36,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/camel.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/violin.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/swan.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/crab.jpg
37,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bat.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/yak.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/tie.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/couch.jpg
38,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/banana.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/zipper.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/toilet.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/corkscrew.jpg
39,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/pizza.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bone.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/yak.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/badger.jpg
40,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cookie.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/rose.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/treadmill.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/comb.jpg
41,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/baboon.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bathtub.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/trumpet.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cheetah.jpg
42,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/belt.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/wallet.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/turkey.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cheese.jpg
