trial_number,prime,target,semstr_category,semstr,dist1,dist2,list_AB,semantic_trials_loop.thisRepN,semantic_trials_loop.thisTrialN,semantic_trials_loop.thisN,semantic_trials_loop.thisIndex,Trial_start,Position1,Position2,Position3,key_response.keys,key_response.corr,Fixation duration,wordlist,participant,session,frameRate,expName,date,
37,stone,kidney,1,0.05,morning,bench,A,0,0,0,36,3.81469726562e-06,-0.5,0,0.5,None,0,1.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
67,rain,umbrella,2,0.7,gorilla,stamp,A,0,1,1,66,5.4705529213,0,0.5,-0.5,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
44,cheddar,cheese,2,0.92,puppet,astronaut,A,0,2,2,43,11.954985857,0.5,0,-0.5,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
27,pill,protein,1,0.02,gown,tomato,A,0,3,3,26,19.4372148514,0,-0.5,0.5,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
22,light,wick,1,0.01,sharpener,cuff,A,0,4,4,21,26.9204018116,0.5,0,-0.5,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
42,car,bumper,2,0.65,weed,saucer,A,0,5,5,41,33.9041008949,0,-0.5,0.5,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
94,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,6,6,93,40.8882029057,0,0.5,-0.5,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
62,note,message,2,0.26,rodent,dagger,A,0,7,7,61,47.87210989,0.5,0,-0.5,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
2,ball,glove,1,0.01,ant,mailbox,A,0,8,8,1,54.3562870026,-0.5,0,0.5,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
30,puzzle,piece,1,0.01,biscuit,siren,A,0,9,9,29,60.842165947,0.5,-0.5,0,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
29,plate,napkin,1,0.03,sea,mitten,A,0,10,10,28,67.3271679878,-0.5,0.5,0,None,0,1.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
46,date,calendar,2,0.23,cane,signature,A,0,11,11,45,72.8146998882,0.5,-0.5,0,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
55,ladder,rung,2,0.26,sirloin,mask,A,0,12,12,54,80.2967410088,-0.5,0.5,0,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
41,armour,shield,2,0.22,pear,film,A,0,13,13,40,87.7800569534,0.5,0,-0.5,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
45,circus,juggler,2,0.36,hog,tortoise,A,0,14,14,44,93.7661819458,0,0.5,-0.5,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
8,chair,swing,1,0.03,tomato,litre,A,0,15,15,7,100.251091003,-0.5,0,0.5,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
97,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,16,16,96,107.733850002,0.5,-0.5,0,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
75,stereo,radio,2,0.2,cookie,arrow,A,0,17,17,74,113.719815969,-0.5,0,0.5,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
82,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,18,18,81,120.205456972,-0.5,0,0.5,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
15,horse,whip,1,0.03,apron,moat,A,0,19,19,14,126.690135956,0,0.5,-0.5,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
