1.2073 	WARNING 	pyo audio lib was requested but not loaded: No module named pyo
6.6722 	INFO 	Loaded monitor calibration from ['2017_05_17 09:51']
6.6748 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
7.3030 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.7,  0.7,  0.7]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0xa67f556c>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.3031 	EXP 	window1: recordFrameIntervals = False
7.4667 	EXP 	window1: recordFrameIntervals = True
7.6501 	EXP 	window1: recordFrameIntervals = False
7.8348 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.075, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.8407 	EXP 	Created dummy_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.3, italic=False, name='dummy_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.8489 	EXP 	Created prime_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='prime_text', opacity=1.0, ori=0, pos=array([ 0. ,  0.2]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
7.8534 	EXP 	Created target_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='target_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
7.8579 	EXP 	Created dist1_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='dist1_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
7.8625 	EXP 	Created dist2_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='dist2_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
7.8651 	EXP 	Created fixation_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.3, italic=False, name='fixation_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.8763 	EXP 	Created thankyou_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='thankyou_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'End of experiment.\n\nThank you.', units=u'norm', win=Window(...), wrapWidth=1)
7.8841 	EXP 	instructions_text: autoDraw = True
21.2523 	DATA 	Keypress: 3
21.2525 	EXP 	launchScan: vol: 1500  TR: 0.585s  skip: 0  sync: '5'
21.2924 	EXP 	window1: mouseVisible = False
21.3102 	EXP 	instructions_text: autoDraw = False
21.9530 	DATA 	Keypress: 5
21.9531 	EXP 	launchScan: start of scan
21.9664 	EXP 	dummy_text: autoDraw = True
27.9848 	EXP 	Imported conds/Semantic_ListA.csv as conditions, 100 conditions, 8 params
27.9868 	EXP 	Created sequence: random, trialTypes=100, nReps=1, seed=None
27.9880 	EXP 	New trial (rep=0, index=0): {u'trial_number': 46, u'prime': u'date', u'target': u'calendar', u'semstr_category': 2, u'semstr': 0.23000000000000001, u'dist1': u'cane', u'dist2': u'signature', u'list_AB': u'A'}
28.0284 	EXP 	dummy_text: autoDraw = False
28.0284 	EXP 	dummy_text: autoDraw = False
28.0284 	EXP 	prime_text: text = u'date'
28.0284 	EXP 	target_text: text = u'calendar'
28.0284 	EXP 	target_text: pos = array([ 0. , -0.2])
28.0284 	EXP 	dist1_text: text = u'cane'
28.0284 	EXP 	dist1_text: pos = array([ 0.5, -0.2])
28.0284 	EXP 	dist2_text: text = u'signature'
28.0284 	EXP 	dist2_text: pos = array([-0.5, -0.2])
28.0284 	EXP 	prime_text: autoDraw = True
28.0284 	EXP 	target_text: autoDraw = True
28.0284 	EXP 	dist1_text: autoDraw = True
28.0284 	EXP 	dist2_text: autoDraw = True
31.9766 	EXP 	prime_text: autoDraw = False
31.9766 	EXP 	target_text: autoDraw = False
31.9766 	EXP 	dist1_text: autoDraw = False
31.9766 	EXP 	dist2_text: autoDraw = False
31.9766 	EXP 	fixation_text: autoDraw = True
34.4555 	EXP 	New trial (rep=0, index=1): {u'trial_number': 37, u'prime': u'stone', u'target': u'kidney', u'semstr_category': 1, u'semstr': 0.050000000000000003, u'dist1': u'morning', u'dist2': u'bench', u'list_AB': u'A'}
34.4960 	EXP 	fixation_text: autoDraw = False
34.4960 	EXP 	fixation_text: autoDraw = False
34.4960 	EXP 	prime_text: text = u'stone'
34.4960 	EXP 	target_text: text = u'kidney'
34.4960 	EXP 	target_text: pos = array([-0.5, -0.2])
34.4960 	EXP 	dist1_text: text = u'morning'
34.4960 	EXP 	dist1_text: pos = array([ 0.5, -0.2])
34.4960 	EXP 	dist2_text: text = u'bench'
34.4960 	EXP 	dist2_text: pos = array([ 0. , -0.2])
34.4960 	EXP 	prime_text: autoDraw = True
34.4960 	EXP 	target_text: autoDraw = True
34.4960 	EXP 	dist1_text: autoDraw = True
34.4960 	EXP 	dist2_text: autoDraw = True
38.4616 	EXP 	prime_text: autoDraw = False
38.4616 	EXP 	target_text: autoDraw = False
38.4616 	EXP 	dist1_text: autoDraw = False
38.4616 	EXP 	dist2_text: autoDraw = False
38.4616 	EXP 	prime_text: autoDraw = False
38.4616 	EXP 	target_text: autoDraw = False
38.4616 	EXP 	dist1_text: autoDraw = False
38.4616 	EXP 	dist2_text: autoDraw = False
38.4616 	EXP 	fixation_text: autoDraw = True
41.9380 	EXP 	New trial (rep=0, index=2): {u'trial_number': 49, u'prime': u'fork', u'target': u'knife', u'semstr_category': 2, u'semstr': 0.33000000000000002, u'dist1': u'acorn', u'dist2': u'grape', u'list_AB': u'A'}
41.9680 	EXP 	fixation_text: autoDraw = False
41.9680 	EXP 	fixation_text: autoDraw = False
41.9680 	EXP 	prime_text: text = u'fork'
41.9680 	EXP 	target_text: text = u'knife'
41.9680 	EXP 	target_text: pos = array([-0.5, -0.2])
41.9680 	EXP 	dist1_text: text = u'acorn'
41.9680 	EXP 	dist1_text: pos = array([ 0. , -0.2])
41.9680 	EXP 	dist2_text: text = u'grape'
41.9680 	EXP 	dist2_text: pos = array([ 0.5, -0.2])
41.9680 	EXP 	prime_text: autoDraw = True
41.9680 	EXP 	target_text: autoDraw = True
41.9680 	EXP 	dist1_text: autoDraw = True
41.9680 	EXP 	dist2_text: autoDraw = True
45.9443 	EXP 	prime_text: autoDraw = False
45.9443 	EXP 	target_text: autoDraw = False
45.9443 	EXP 	dist1_text: autoDraw = False
45.9443 	EXP 	dist2_text: autoDraw = False
45.9443 	EXP 	prime_text: autoDraw = False
45.9443 	EXP 	target_text: autoDraw = False
45.9443 	EXP 	dist1_text: autoDraw = False
45.9443 	EXP 	dist2_text: autoDraw = False
45.9443 	EXP 	fixation_text: autoDraw = True
49.4208 	EXP 	New trial (rep=0, index=3): {u'trial_number': 43, u'prime': u'carpet', u'target': u'rug', u'semstr_category': 2, u'semstr': 0.46999999999999997, u'dist1': u'mule', u'dist2': u'hinge', u'list_AB': u'A'}
49.4532 	EXP 	fixation_text: autoDraw = False
49.4532 	EXP 	fixation_text: autoDraw = False
49.4532 	EXP 	prime_text: text = u'carpet'
49.4532 	EXP 	target_text: text = u'rug'
49.4532 	EXP 	target_text: pos = array([-0.5, -0.2])
49.4532 	EXP 	dist1_text: text = u'mule'
49.4532 	EXP 	dist1_text: pos = array([ 0. , -0.2])
49.4532 	EXP 	dist2_text: text = u'hinge'
49.4532 	EXP 	dist2_text: pos = array([ 0.5, -0.2])
49.4532 	EXP 	prime_text: autoDraw = True
49.4532 	EXP 	target_text: autoDraw = True
49.4532 	EXP 	dist1_text: autoDraw = True
49.4532 	EXP 	dist2_text: autoDraw = True
53.4270 	EXP 	prime_text: autoDraw = False
53.4270 	EXP 	target_text: autoDraw = False
53.4270 	EXP 	dist1_text: autoDraw = False
53.4270 	EXP 	dist2_text: autoDraw = False
53.4270 	EXP 	prime_text: autoDraw = False
53.4270 	EXP 	target_text: autoDraw = False
53.4270 	EXP 	dist1_text: autoDraw = False
53.4270 	EXP 	dist2_text: autoDraw = False
53.4270 	EXP 	fixation_text: autoDraw = True
55.9056 	EXP 	New trial (rep=0, index=4): {u'trial_number': 40, u'prime': u'wax', u'target': u'polish', u'semstr_category': 1, u'semstr': 0.14000000000000001, u'dist1': u'ranch', u'dist2': u'cabin', u'list_AB': u'A'}
55.9362 	EXP 	fixation_text: autoDraw = False
55.9362 	EXP 	fixation_text: autoDraw = False
