trial_number,prime,target,semstr_category,semstr,dist1,dist2,list_AB,semantic_trials_loop.thisRepN,semantic_trials_loop.thisTrialN,semantic_trials_loop.thisN,semantic_trials_loop.thisIndex,Trial_start,Position1,Position2,Position3,key_response.keys,key_response.corr,Fixation duration,wordlist,participant,session,frameRate,expName,date,
5,blouse,sleeve,1,0.01,towel,patio,A,0,0,0,4,2.14576721191e-06,0,0.5,-0.5,None,0,2.0,A,,001,60.0867857332,Semantic_Task,2017_Nov_09_1612,
41,armour,shield,2,0.22,pear,film,A,0,1,1,40,5.98369216919,0.5,-0.5,0,None,0,3.0,A,,001,60.0867857332,Semantic_Task,2017_Nov_09_1612,
