1.2108 	WARNING 	pyo audio lib was requested but not loaded: No module named pyo
3.9903 	INFO 	Loaded monitor calibration from ['2017_05_17 09:51']
3.9928 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
4.6286 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.7,  0.7,  0.7]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0xa682556c>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.6287 	EXP 	window1: recordFrameIntervals = False
4.7926 	EXP 	window1: recordFrameIntervals = True
4.9760 	EXP 	window1: recordFrameIntervals = False
5.1472 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.075, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
5.1531 	EXP 	Created dummy_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.3, italic=False, name='dummy_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
5.1615 	EXP 	Created prime_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='prime_text', opacity=1.0, ori=0, pos=array([ 0. ,  0.2]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
5.1659 	EXP 	Created target_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='target_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
5.1704 	EXP 	Created dist1_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='dist1_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
5.1750 	EXP 	Created dist2_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='dist2_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
5.1775 	EXP 	Created fixation_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.3, italic=False, name='fixation_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
5.1889 	EXP 	Created thankyou_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='thankyou_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'End of experiment.\n\nThank you.', units=u'norm', win=Window(...), wrapWidth=1)
5.1967 	EXP 	instructions_text: autoDraw = True
65.4546 	DATA 	Keypress: right
66.1857 	DATA 	Keypress: down
67.2159 	DATA 	Keypress: return
69.9093 	DATA 	Keypress: 3
69.9096 	EXP 	launchScan: vol: 1500  TR: 0.585s  skip: 0  sync: '5'
69.9492 	EXP 	window1: mouseVisible = False
69.9666 	EXP 	instructions_text: autoDraw = False
71.0428 	DATA 	Keypress: 5
71.0429 	EXP 	launchScan: start of scan
71.0548 	EXP 	dummy_text: autoDraw = True
77.0634 	EXP 	Imported conds/Semantic_ListA.csv as conditions, 100 conditions, 8 params
77.0650 	EXP 	Created sequence: random, trialTypes=100, nReps=1, seed=None
77.0661 	EXP 	New trial (rep=0, index=0): {u'trial_number': 84, u'prime': u'xxxx', u'target': u'xxxx', u'semstr_category': 0, u'semstr': 0.0, u'dist1': u'xxxx', u'dist2': u'xxxx', u'list_AB': u'A'}
77.0961 	EXP 	dummy_text: autoDraw = False
77.0961 	EXP 	dummy_text: autoDraw = False
77.0961 	EXP 	prime_text: text = u'xxxx'
77.0961 	EXP 	target_text: text = u'xxxx'
77.0961 	EXP 	target_text: pos = array([-0.5, -0.2])
77.0961 	EXP 	dist1_text: text = u'xxxx'
77.0961 	EXP 	dist1_text: pos = array([ 0.5, -0.2])
77.0961 	EXP 	dist2_text: text = u'xxxx'
77.0961 	EXP 	dist2_text: pos = array([ 0. , -0.2])
77.0961 	EXP 	prime_text: autoDraw = True
77.0961 	EXP 	target_text: autoDraw = True
77.0961 	EXP 	dist1_text: autoDraw = True
77.0961 	EXP 	dist2_text: autoDraw = True
81.0666 	EXP 	prime_text: autoDraw = False
81.0666 	EXP 	target_text: autoDraw = False
81.0666 	EXP 	dist1_text: autoDraw = False
81.0666 	EXP 	dist2_text: autoDraw = False
81.0666 	EXP 	fixation_text: autoDraw = True
83.0466 	EXP 	New trial (rep=0, index=1): {u'trial_number': 26, u'prime': u'past', u'target': u'legend', u'semstr_category': 1, u'semstr': 0.01, u'dist1': u'topping', u'dist2': u'claw ', u'list_AB': u'A'}
83.0812 	EXP 	fixation_text: autoDraw = False
83.0812 	EXP 	fixation_text: autoDraw = False
83.0812 	EXP 	prime_text: text = u'past'
83.0812 	EXP 	target_text: text = u'legend'
83.0812 	EXP 	target_text: pos = array([-0.5, -0.2])
83.0812 	EXP 	dist1_text: text = u'topping'
83.0812 	EXP 	dist1_text: pos = array([ 0.5, -0.2])
83.0812 	EXP 	dist2_text: text = u'claw '
83.0812 	EXP 	dist2_text: pos = array([ 0. , -0.2])
83.0812 	EXP 	prime_text: autoDraw = True
83.0812 	EXP 	target_text: autoDraw = True
83.0812 	EXP 	dist1_text: autoDraw = True
83.0812 	EXP 	dist2_text: autoDraw = True
87.0528 	EXP 	prime_text: autoDraw = False
87.0528 	EXP 	target_text: autoDraw = False
87.0528 	EXP 	dist1_text: autoDraw = False
87.0528 	EXP 	dist2_text: autoDraw = False
87.0528 	EXP 	prime_text: autoDraw = False
87.0528 	EXP 	target_text: autoDraw = False
87.0528 	EXP 	dist1_text: autoDraw = False
87.0528 	EXP 	dist2_text: autoDraw = False
87.0528 	EXP 	fixation_text: autoDraw = True
90.0302 	EXP 	New trial (rep=0, index=2): {u'trial_number': 82, u'prime': u'xxxx', u'target': u'xxxx', u'semstr_category': 0, u'semstr': 0.0, u'dist1': u'xxxx', u'dist2': u'xxxx', u'list_AB': u'A'}
90.0588 	EXP 	fixation_text: autoDraw = False
90.0588 	EXP 	fixation_text: autoDraw = False
90.0588 	EXP 	prime_text: text = u'xxxx'
90.0588 	EXP 	target_text: text = u'xxxx'
90.0588 	EXP 	target_text: pos = array([-0.5, -0.2])
90.0588 	EXP 	dist1_text: text = u'xxxx'
90.0588 	EXP 	dist1_text: pos = array([ 0. , -0.2])
90.0588 	EXP 	dist2_text: text = u'xxxx'
90.0588 	EXP 	dist2_text: pos = array([ 0.5, -0.2])
90.0588 	EXP 	prime_text: autoDraw = True
90.0588 	EXP 	target_text: autoDraw = True
90.0588 	EXP 	dist1_text: autoDraw = True
90.0588 	EXP 	dist2_text: autoDraw = True
94.0366 	EXP 	prime_text: autoDraw = False
94.0366 	EXP 	target_text: autoDraw = False
94.0366 	EXP 	dist1_text: autoDraw = False
94.0366 	EXP 	dist2_text: autoDraw = False
94.0366 	EXP 	prime_text: autoDraw = False
94.0366 	EXP 	target_text: autoDraw = False
94.0366 	EXP 	dist1_text: autoDraw = False
94.0366 	EXP 	dist2_text: autoDraw = False
94.0366 	EXP 	fixation_text: autoDraw = True
97.5130 	EXP 	New trial (rep=0, index=3): {u'trial_number': 56, u'prime': u'lock', u'target': u'key', u'semstr_category': 2, u'semstr': 0.26000000000000001, u'dist1': u'jigsaw', u'dist2': u'oar', u'list_AB': u'A'}
97.5430 	EXP 	fixation_text: autoDraw = False
97.5430 	EXP 	fixation_text: autoDraw = False
97.5430 	EXP 	prime_text: text = u'lock'
97.5430 	EXP 	target_text: text = u'key'
97.5430 	EXP 	target_text: pos = array([ 0.5, -0.2])
97.5430 	EXP 	dist1_text: text = u'jigsaw'
97.5430 	EXP 	dist1_text: pos = array([-0.5, -0.2])
97.5430 	EXP 	dist2_text: text = u'oar'
97.5430 	EXP 	dist2_text: pos = array([ 0. , -0.2])
97.5430 	EXP 	prime_text: autoDraw = True
97.5430 	EXP 	target_text: autoDraw = True
97.5430 	EXP 	dist1_text: autoDraw = True
97.5430 	EXP 	dist2_text: autoDraw = True
101.5193 	EXP 	prime_text: autoDraw = False
101.5193 	EXP 	target_text: autoDraw = False
101.5193 	EXP 	dist1_text: autoDraw = False
101.5193 	EXP 	dist2_text: autoDraw = False
101.5193 	EXP 	prime_text: autoDraw = False
101.5193 	EXP 	target_text: autoDraw = False
101.5193 	EXP 	dist1_text: autoDraw = False
101.5193 	EXP 	dist2_text: autoDraw = False
101.5193 	EXP 	fixation_text: autoDraw = True
103.9980 	EXP 	New trial (rep=0, index=4): {u'trial_number': 44, u'prime': u'cheddar', u'target': u'cheese', u'semstr_category': 2, u'semstr': 0.92000000000000004, u'dist1': u'puppet', u'dist2': u'astronaut', u'list_AB': u'A'}
104.0309 	EXP 	fixation_text: autoDraw = False
104.0309 	EXP 	fixation_text: autoDraw = False
104.0309 	EXP 	prime_text: text = u'cheddar'
104.0309 	EXP 	target_text: text = u'cheese'
104.0309 	EXP 	target_text: pos = array([ 0.5, -0.2])
104.0309 	EXP 	dist1_text: text = u'puppet'
104.0309 	EXP 	dist1_text: pos = array([-0.5, -0.2])
104.0309 	EXP 	dist2_text: text = u'astronaut'
104.0309 	EXP 	dist2_text: pos = array([ 0. , -0.2])
104.0309 	EXP 	prime_text: autoDraw = True
104.0309 	EXP 	target_text: autoDraw = True
104.0309 	EXP 	dist1_text: autoDraw = True
104.0309 	EXP 	dist2_text: autoDraw = True
108.0045 	EXP 	prime_text: autoDraw = False
108.0045 	EXP 	target_text: autoDraw = False
108.0045 	EXP 	dist1_text: autoDraw = False
108.0045 	EXP 	dist2_text: autoDraw = False
108.0045 	EXP 	prime_text: autoDraw = False
108.0045 	EXP 	target_text: autoDraw = False
108.0045 	EXP 	dist1_text: autoDraw = False
108.0045 	EXP 	dist2_text: autoDraw = False
108.0045 	EXP 	fixation_text: autoDraw = True
111.4809 	EXP 	New trial (rep=0, index=5): {u'trial_number': 9, u'prime': u'chocolate', u'target': u'mint', u'semstr_category': 1, u'semstr': 0.050000000000000003, u'dist1': u'noodles', u'dist2': u'shape', u'list_AB': u'A'}
111.5165 	EXP 	fixation_text: autoDraw = False
111.5165 	EXP 	fixation_text: autoDraw = False
111.5165 	EXP 	prime_text: text = u'chocolate'
111.5165 	EXP 	target_text: text = u'mint'
111.5165 	EXP 	target_text: pos = array([-0.5, -0.2])
111.5165 	EXP 	dist1_text: text = u'noodles'
111.5165 	EXP 	dist1_text: pos = array([ 0. , -0.2])
111.5165 	EXP 	dist2_text: text = u'shape'
111.5165 	EXP 	dist2_text: pos = array([ 0.5, -0.2])
111.5165 	EXP 	prime_text: autoDraw = True
111.5165 	EXP 	target_text: autoDraw = True
111.5165 	EXP 	dist1_text: autoDraw = True
111.5165 	EXP 	dist2_text: autoDraw = True
115.4872 	EXP 	prime_text: autoDraw = False
115.4872 	EXP 	target_text: autoDraw = False
115.4872 	EXP 	dist1_text: autoDraw = False
115.4872 	EXP 	dist2_text: autoDraw = False
115.4872 	EXP 	prime_text: autoDraw = False
115.4872 	EXP 	target_text: autoDraw = False
115.4872 	EXP 	dist1_text: autoDraw = False
115.4872 	EXP 	dist2_text: autoDraw = False
115.4872 	EXP 	fixation_text: autoDraw = True
117.9660 	EXP 	New trial (rep=0, index=6): {u'trial_number': 8, u'prime': u'chair', u'target': u'swing', u'semstr_category': 1, u'semstr': 0.029999999999999999, u'dist1': u'tomato', u'dist2': u'litre', u'list_AB': u'A'}
117.9994 	EXP 	fixation_text: autoDraw = False
117.9994 	EXP 	fixation_text: autoDraw = False
117.9994 	EXP 	prime_text: text = u'chair'
117.9994 	EXP 	target_text: text = u'swing'
117.9994 	EXP 	target_text: pos = array([ 0.5, -0.2])
117.9994 	EXP 	dist1_text: text = u'tomato'
117.9994 	EXP 	dist1_text: pos = array([-0.5, -0.2])
117.9994 	EXP 	dist2_text: text = u'litre'
117.9994 	EXP 	dist2_text: pos = array([ 0. , -0.2])
117.9994 	EXP 	prime_text: autoDraw = True
