region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
15,0.0348384305668388,0.0242075613164225,0.00330268520847694,0.0303077770085481,0.107047381046323,0.165895726188309,0.131819629394544,0.117757149327714,0.140714331542995,0.154425665967596,0.117506639154653,0.122551729046624,0.177053214201725,0.197271838681053,0.177413440168591
16,0.125603618931918,0.154671441596561,0.277345077385284,0.389816426859158,0.478455904354969,0.476632299062625,0.389988260337191,0.364192823304828,0.38870069268482,0.407350849078797,0.392520091438117,0.372962973746793,0.381864497088547,0.383573610864318,0.41250975469157
17,0.0180044383345128,0.0308881244386612,0.0476955050776143,0.0162689343181511,0.0214779460484523,-0.0119004089664676,-0.0546433088540895,-0.103531040662138,-0.0733485382377398,-0.0210742498882187,0.00544640150636312,0.0413463478733686,0.14608217892672,0.20292297220331,0.28285475168403
18,0.333495611104622,0.425564387547503,0.495109461765566,0.565043396462477,0.621101677964447,0.680701072773296,0.675576265434408,0.655590627015804,0.672003323249536,0.657358917913449,0.665394294128186,0.714447865546659,0.779612639905015,0.768061249243142,0.780538955335162
19,-0.096485145227419,-0.182383765470697,-0.176145737161216,-0.139386418154157,-0.119651921018777,-0.167635094852884,-0.242716345594344,-0.25365766291356,-0.221420709118484,-0.180403381497469,-0.16954516912617,-0.160734640381482,-0.145865257810745,-0.192106343405846,-0.234162163211352
20,0.552115999320058,0.408384238456047,0.279402859052248,0.189641406561928,0.142438288592518,0.099310779003864,0.0996355653607847,0.16940977014531,0.205749876341455,0.298816453642176,0.420663208800953,0.520421795059641,0.553403456557487,0.506658198735381,0.513428594983373
21,-0.431508084884472,-0.381877017054887,-0.423741974398055,-0.497769916777788,-0.597572320044491,-0.62893258169585,-0.565183921771475,-0.504660093617223,-0.503158861134265,-0.508802062312054,-0.488466865111446,-0.441456767096096,-0.388033946779896,-0.391995403453324,-0.388157327658172
22,0.317719651246251,0.273468215220078,0.272256097848784,0.291173213172995,0.324165227405092,0.37414873395085,0.374059509242753,0.36296210000359,0.361586763223482,0.339424584370402,0.308476351212488,0.289042089183353,0.255953679932404,0.233599062951623,0.260483853478599
23,0.319096788152996,0.260099653447744,0.137049708841984,0.0242791985540178,-0.00875828629233002,0.05801308869814,0.156083721248579,0.272552886393853,0.184463781084418,0.178483748467186,0.28848602256062,0.408112989322362,0.450025096669037,0.441127534213477,0.473810313771665
24,0.338964113915305,0.288471075141809,0.228457351645934,0.212576350376256,0.201053191652269,0.243733995069024,0.212467536191183,0.180815483766067,0.214078015251162,0.235815788857099,0.191288596814747,0.121864205166126,0.0782583312949088,0.111397404337902,0.115242474339807
25,0.163727327989184,0.199633791770968,0.281801624135385,0.357011696945684,0.394791343501719,0.437624156135115,0.448459834385036,0.421087094720548,0.424638781842367,0.40568889340493,0.364502842444444,0.341706031703577,0.379799012463155,0.401269196173956,0.378419976897198
