Time,Trial_Number,Condition,Fixation,Fixation_Duration,Stim_ID,Subject_Response,Accuracy,Reaction_Time
0.013660505996085703,1,new,ON,0.8361642389791086,--,--,--,--
0.8498247449751943,1,new,OFF,--,077a.jpg,--,--,--
2.476448421017267,1,new,OFF,--,--,new,1,1.6266236760420725
,,,,,,,,
3.3587836229708046,2,similar,ON,0.9224842699477449,--,--,--,--
4.2812678929185495,2,similar,OFF,--,055b.jpg,--,--,--
6.5993958509061486,2,similar,OFF,--,--,old,0,2.318127957987599
,,,,,,,,
6.7893899329937994,3,similar,ON,1.3514598199399188,--,--,--,--
8.140849752933718,3,similar,OFF,--,009b.jpg,--,--,--
10.23943054501433,3,similar,OFF,--,--,new,0,2.098580792080611
,,,,,,,,
10.6502985189436,4,new,ON,1.3898705360479653,--,--,--,--
12.040169054991566,4,new,OFF,--,067a.jpg,--,--,--
12.81139855994843,4,new,OFF,--,--,new,1,0.7712295049568638
,,,,,,,,
14.54790168593172,5,new,ON,1.015177792054601,--,--,--,--
15.56307947798632,5,new,OFF,--,088a.jpg,--,--,--
16.273541565984488,5,new,OFF,--,--,new,1,0.7104620879981667
,,,,,,,,
18.073177249985747,6,similar,ON,1.0032325979555026,--,--,--,--
19.07640984794125,6,similar,OFF,--,020b.jpg,--,--,--
20.130374638945796,6,similar,OFF,--,--,old,0,1.053964791004546
,,,,,,,,
21.584484429913573,7,similar,ON,0.7132823700085282,--,--,--,--
22.2977667999221,7,similar,OFF,--,004b.jpg,--,--,--
23.19652637594845,7,similar,OFF,--,--,old,0,0.8987595760263503
,,,,,,,,
24.805794165935367,8,new,ON,0.860366897075437,--,--,--,--
25.666161063010804,8,new,OFF,--,091a.jpg,--,--,--
27.649683616007678,8,new,OFF,--,--,old,0,1.9835225529968739
,,,,,,,,
28.173309899982996,9,similar,ON,0.9577111980179325,--,--,--,--
29.13102109800093,9,similar,OFF,--,003b.jpg,--,--,--
30.8757928640116,9,similar,OFF,--,--,old,0,1.7447717660106719
,,,,,,,,
31.63984276796691,10,new,ON,1.3831634999951348,--,--,--,--
33.023006267962046,10,new,OFF,--,095a.jpg,--,--,--
34.18335731991101,10,new,OFF,--,--,new,1,1.1603510519489646
,,,,,,,,
35.531338654924184,11,new,ON,1.1538804890587926,--,--,--,--
36.68521914398298,11,new,OFF,--,084a.jpg,--,--,--
37.66073304892052,11,new,OFF,--,--,new,1,0.975513904937543
,,,,,,,,
39.194386660004966,12,new,ON,1.218274888000451,--,--,--,--
40.41266154800542,12,new,OFF,--,071a.jpg,--,--,--
42.33249798801262,12,new,OFF,--,--,old,0,1.9198364400072023
,,,,,,,,
42.921145332977176,13,new,ON,1.6565178849268705,--,--,--,--
44.577663217904046,13,new,OFF,--,080a.jpg,--,--,--
46.46933758293744,13,new,OFF,--,--,new,1,1.8916743650333956
,,,,,,,,
47.091697013005614,14,similar,ON,1.081525771995075,--,--,--,--
48.17322278500069,14,similar,OFF,--,050b.jpg,--,--,--
50.410807485925034,14,similar,OFF,--,--,old,0,2.2375847009243444
,,,,,,,,
50.681196109973826,15,new,ON,1.050291692954488,--,--,--,--
51.731487802928314,15,new,OFF,--,076a.jpg,--,--,--
53.051500816014595,15,new,OFF,--,--,similar,0,1.3200130130862817
,,,,,,,,
54.239984686952084,16,old,ON,1.182717378018424,--,--,--,--
55.42270206497051,16,old,OFF,--,026a.jpg,--,--,--
56.881375340977684,16,old,OFF,--,--,old,1,1.4586732760071754
,,,,,,,,
57.93889962800313,17,new,ON,0.732788904919289,--,--,--,--
58.67168853292242,17,new,OFF,--,065a.jpg,--,--,--
60.304527557920665,17,new,OFF,--,--,new,1,1.6328390249982476
,,,,,,,,
61.179681435925886,18,similar,ON,1.4886886220192537,--,--,--,--
62.66837005794514,18,similar,OFF,--,015b.jpg,--,--,--
64.7765929599991,18,similar,OFF,--,--,similar,1,2.108222902053967
,,,,,,,,
65.17692964395974,19,new,ON,1.2789227539906278,--,--,--,--
66.45585239795037,19,new,OFF,--,092a.jpg,--,--,--
68.2085150689818,19,new,OFF,--,--,new,1,1.7526626710314304
,,,,,,,,
68.96348530298565,20,new,ON,1.1635851269820705,--,--,--,--
70.12707042996772,20,new,OFF,--,079a.jpg,--,--,--
71.53443788492586,20,new,OFF,--,--,old,0,1.4073674549581483
,,,,,,,,
72.63488038501237,21,similar,ON,1.322696307906881,--,--,--,--
73.95757669291925,21,similar,OFF,--,027b.jpg,--,--,--
75.59436886792537,21,similar,OFF,--,--,old,0,1.6367921750061214
,,,,,,,,
76.46668299997691,22,similar,ON,0.8675140530103818,--,--,--,--
77.33419705298729,22,similar,OFF,--,052b.jpg,--,--,--
78.46342244592961,22,similar,OFF,--,--,similar,1,1.1292253929423168
,,,,,,,,
79.84314684197307,23,similar,ON,1.628548405948095,--,--,--,--
81.47169524792116,23,similar,OFF,--,056b.jpg,--,--,--
82.9803723229561,23,similar,OFF,--,--,old,0,1.5086770750349388
,,,,,,,,
83.97992921597324,24,similar,ON,1.52277788403444,--,--,--,--
85.50270710000768,24,similar,OFF,--,034b.jpg,--,--,--
86.91671348398086,24,similar,OFF,--,--,old,0,1.4140063839731738
,,,,,,,,
