26.1045 	EXP 	stimPic2: size = array([0.24074074, 0.24074074])
26.1045 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x260 at 0x7F93248156D0>
26.1045 	EXP 	stimulus pair
27.9085 	DATA 	Keypress: 5
28.1149 	EXP 	fixation cross
30.0173 	DATA 	Keypress: 5
30.2343 	EXP 	stimPic1: size = array([0.24074074, 0.20740741])
30.2343 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x224 at 0x7F9324815550>
30.2343 	EXP 	stimPic2: size = array([0.24074074, 0.16018519])
30.2343 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x173 at 0x7F93248152B0>
30.2343 	EXP 	stimulus pair
32.0374 	DATA 	Keypress: 5
32.1090 	DATA 	Keypress: 5
32.2440 	EXP 	fixation cross
34.6671 	DATA 	Keypress: 5
34.8844 	EXP 	stimPic1: size = array([0.24074074, 0.21574074])
34.8844 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x233 at 0x7F9324815280>
34.8844 	EXP 	stimPic2: size = array([0.24074074, 0.24074074])
34.8844 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x260 at 0x7F9324815790>
34.8844 	EXP 	stimulus pair
36.6872 	DATA 	Keypress: 5
36.8929 	EXP 	fixation cross
39.6123 	DATA 	Keypress: 5
39.6156 	DATA 	Keypress: 5
39.8291 	EXP 	stimPic1: size = array([0.24074074, 0.16851852])
39.8291 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x182 at 0x7F9324815550>
39.8291 	EXP 	stimPic2: size = array([0.24074074, 0.24074074])
39.8291 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x260 at 0x7F9324815BB0>
39.8291 	EXP 	stimulus pair
41.6331 	DATA 	Keypress: 5
41.8392 	EXP 	fixation cross
44.0517 	DATA 	Keypress: 5
44.0547 	DATA 	Keypress: 5
44.2679 	EXP 	stimPic1: size = array([0.24074074, 0.17407407])
44.2679 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x188 at 0x7F9324815D30>
44.2679 	EXP 	stimPic2: size = array([0.24074074, 0.1462963 ])
44.2679 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x158 at 0x7F93248156D0>
44.2679 	EXP 	stimulus pair
46.0724 	DATA 	Keypress: 5
46.2816 	EXP 	fixation cross
48.8743 	DATA 	Keypress: 5
49.0080 	DATA 	Keypress: 5
49.0905 	EXP 	stimPic1: size = array([0.24074074, 0.24074074])
49.0905 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x260 at 0x7F9324815EE0>
49.0905 	EXP 	stimPic2: size = array([0.24074074, 0.28148148])
49.0905 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x304 at 0x7F9324815550>
49.0905 	EXP 	stimulus pair
50.8943 	DATA 	Keypress: 5
51.1088 	EXP 	fixation cross
53.5042 	DATA 	Keypress: 5
53.7209 	EXP 	stimPic1: size = array([0.24074074, 0.18333333])
53.7209 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x198 at 0x7F9324815D30>
53.7209 	EXP 	stimPic2: size = array([0.24074074, 0.14814815])
53.7209 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x160 at 0x7F93248180D0>
53.7209 	EXP 	stimulus pair
55.5236 	DATA 	Keypress: 5
55.7307 	EXP 	fixation cross
57.8453 	DATA 	Keypress: 5
57.8484 	DATA 	Keypress: 5
58.0610 	EXP 	stimPic1: size = array([0.24074074, 0.24074074])
58.0610 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x260 at 0x7F9324818070>
58.0610 	EXP 	stimPic2: size = array([0.24074074, 0.17314815])
58.0610 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x187 at 0x7F93248181F0>
58.0610 	EXP 	stimulus pair
59.8656 	DATA 	Keypress: 5
60.0749 	EXP 	fixation cross
61.9074 	DATA 	Keypress: 5
62.1239 	EXP 	stimPic1: size = array([0.24074074, 0.24074074])
62.1239 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x260 at 0x7F9324818400>
62.1239 	EXP 	stimPic2: size = array([0.24074074, 0.15925926])
62.1239 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x172 at 0x7F93248182B0>
62.1239 	EXP 	stimulus pair
63.9279 	DATA 	Keypress: 5
64.1344 	EXP 	fixation cross
66.0227 	DATA 	Keypress: 5
66.0259 	DATA 	Keypress: 5
66.2419 	EXP 	stimPic1: size = array([0.24074074, 0.13425926])
66.2419 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x145 at 0x7F93248184F0>
66.2419 	EXP 	stimPic2: size = array([0.24074074, 0.2787037 ])
66.2419 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x301 at 0x7F93248185B0>
66.2419 	EXP 	stimulus pair
68.0458 	DATA 	Keypress: 5
68.2561 	EXP 	fixation cross
70.5245 	DATA 	Keypress: 5
70.7393 	EXP 	stimPic1: size = array([0.24074074, 0.15462963])
70.7393 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x167 at 0x7F9324818730>
70.7393 	EXP 	stimPic2: size = array([0.18518519, 0.2537037 ])
70.7393 	EXP 	stimPic2: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=200x274 at 0x7F9324818640>
70.7393 	EXP 	stimulus pair
72.5432 	DATA 	Keypress: 5
72.6669 	DATA 	Keypress: 5
72.7498 	EXP 	fixation cross
74.5670 	DATA 	Keypress: 5
74.7837 	EXP 	stimPic1: size = array([0.24074074, 0.1537037 ])
74.7837 	EXP 	stimPic1: image = <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=260x166 at 0x7F9324818280>
