8.4497 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
9.3201 	EXP 	Created feedback on screen = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=list(...), fontFiles=[], height=50, italic=False, name='feedback on screen', opacity=1.0, ori=0.0, pos=array([-300.,  250.]), rgb=array([ 255.,    0.,    0.]), text=u'feedback', units='pix', win=Window(...), wrapWidth=500)
9.3266 	EXP 	Created feedback: correct ans = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=list(...), fontFiles=[], height=50, italic=False, name='feedback: correct ans', opacity=1.0, ori=0.0, pos=array([   0.,  100.]), rgb=array([ 0.,  0.,  0.]), text=u'The correct answer is', units='pix', win=Window(...), wrapWidth=1100)
9.3303 	EXP 	Created show correct ans = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='blue', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=list(...), fontFiles=[], height=50, italic=False, name='show correct ans', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([   0.,    0.,  255.]), text=u'feedback', units='pix', win=Window(...), wrapWidth=500)
9.4185 	EXP 	instruction: text = "Welcome to this experiment!\n\nIn this task you will be presented with a number of word pairs.\n\nPlease try to learn these word pairs to the best of your ability as you will be tested on them at a later stage.\n\nTo help you remember the pairs, please try to think of associations between the words themselves. For instance, if the word pair was 'tiger-shoe' you might try to picture in your mind a tiger wearing a shoe.\n\nPress any button to start the task.\n\n"
14.1880 	DATA 	Keypress: j
14.8412 	DATA 	Keypress: space
15.1485 	DATA 	Keypress: k
15.4011 	DATA 	Keypress: h
15.5993 	DATA 	Keypress: l
15.8046 	DATA 	Keypress: l
16.0093 	DATA 	Keypress: k
16.2459 	DATA 	Keypress: j
16.4431 	DATA 	Keypress: j
16.4890 	DATA 	Keypress: l
16.6554 	DATA 	Keypress: l
16.6778 	DATA 	Keypress: k
16.8257 	DATA 	Keypress: j
16.9443 	DATA 	Keypress: l
17.0145 	DATA 	Keypress: k
17.1226 	DATA 	Keypress: j
17.2013 	DATA 	Keypress: l
17.3178 	DATA 	Keypress: j
17.4271 	DATA 	Keypress: l
17.4272 	DATA 	Keypress: k
17.7678 	DATA 	Keypress: l
17.7679 	DATA 	Keypress: k
17.8526 	DATA 	Keypress: j
17.9465 	DATA 	Keypress: l
17.9689 	DATA 	Keypress: k
18.0302 	DATA 	Keypress: j
