trial_num,prime,target,foil1,foil2,condition
37,episodic/Encoding/ListA/tree.jpg,episodic/Encoding/ListA/tie.jpg,episodic/Encoding/ListA/baboon.jpg,episodic/Encoding/ListA/moon.jpg,E
38,episodic/Encoding/ListA/parrot.jpg,episodic/Encoding/ListA/scissors.jpg,episodic/Encoding/ListA/cheetah.jpg,episodic/Encoding/ListA/slippers.jpg,E
39,episodic/Encoding/ListA/fork.jpg,episodic/Encoding/ListA/ring.jpg,episodic/Encoding/ListA/pot.jpg,episodic/Encoding/ListA/vacuum.jpg,E
40,episodic/Encoding/ListA/guitar.jpg,episodic/Encoding/ListA/purse.jpg,episodic/Encoding/ListA/chair.jpg,episodic/Encoding/ListA/whistle.jpg,E
41,episodic/Encoding/ListA/tractor.jpg,episodic/Encoding/ListA/toilet.jpg,episodic/Encoding/ListA/squirrel.jpg,episodic/Encoding/ListA/wool.jpg,D
42,episodic/Encoding/ListA/shackles.jpg,episodic/Encoding/ListA/anchor.jpg,episodic/Encoding/ListA/sandal.jpg,episodic/Encoding/ListA/bathtub.jpg,E
43,episodic/Encoding/ListA/dog.jpg,episodic/Encoding/ListA/shoe.jpg,episodic/Encoding/ListA/crab.jpg,episodic/Encoding/ListA/vest.jpg,E
44,episodic/Encoding/ListA/octopus.jpg,episodic/Encoding/ListA/phone.jpg,episodic/Encoding/ListA/fork.jpg,episodic/Encoding/ListA/trumpet.jpg,E
45,episodic/Encoding/ListA/pickle.jpg,episodic/Encoding/ListA/barbell.jpg,episodic/Encoding/ListA/lion.jpg,episodic/Encoding/ListA/shoe.jpg,E
46,episodic/Encoding/ListA/tape.jpg,episodic/Encoding/ListA/whale.jpg,episodic/Encoding/ListA/glasses.jpg,episodic/Encoding/ListA/yacht.jpg,E
47,episodic/Encoding/ListA/cucumber.jpg,episodic/Encoding/ListA/rhinoceros.jpg,episodic/Encoding/ListA/shackles.jpg,episodic/Encoding/ListA/kite.jpg,D
48,episodic/Encoding/ListA/sandwich.jpg,episodic/Encoding/ListA/bracelet.jpg,episodic/Encoding/ListA/bat.jpg,episodic/Encoding/ListA/swan.jpg,D
