trial_number,words_to_recall
1,night
2,note
3,nut
4,painter
5,planet
6,pond
7,rain
8,shampoo
9,ship
10,shoe
11,shrimp
12,sleep
13,soap
14,song
15,stereo
16,sugar
17,table
18,travel
19,wine
20,wool
