71,73,74,75,75,75,75,74,73,26,23,22,20,18,19,21,24,28,34,39,44,47,50,52,53,55,57,59,61,64,66,69
87,85,84,82,79,77,74,72,69,32,32,34,36,40,46,53,61,67,73,77,79,79,79,78,77,79,81,83,85,86,87,87
86,87,87,86,85,83,82,80,78,22,20,20,20,21,26,31,38,45,52,58,62,65,67,68,68,70,73,75,78,80,83,85
61,63,65,66,67,68,68,68,68,31,29,27,24,22,21,21,22,25,28,33,37,40,43,45,46,47,49,50,52,54,56,59
74,76,77,78,78,78,77,76,75,24,22,20,18,17,19,21,25,31,36,42,47,50,53,55,56,58,60,62,65,67,70,72
90,88,87,84,82,79,76,74,71,30,30,32,35,39,45,53,61,68,74,79,81,81,81,80,79,81,83,85,87,89,90,90
67,64,61,58,56,53,51,49,47,56,58,62,66,71,77,82,87,88,89,88,86,83,80,77,74,75,75,75,74,73,72,70
96,95,93,90,86,83,79,76,73,28,29,32,35,41,49,58,68,76,100,88,90,90,90,88,86,88,91,93,95,96,99,99
85,81,78,74,70,66,63,60,57,46,49,53,58,65,74,82,91,94,95,97,99,96,93,90,87,88,90,90,91,90,89,87
92,91,90,88,85,82,80,77,74,26,26,28,30,34,40,48,56,64,71,76,79,80,80,80,78,81,83,86,88,90,91,92
19,18,18,18,19,21,22,24,26,77,78,79,79,77,75,70,65,57,51,46,42,39,37,36,36,34,31,29,26,24,22,20
80,78,76,73,70,68,65,63,61,41,43,45,48,53,59,66,73,78,81,83,83,82,81,79,77,79,80,81,82,82,82,81
81,82,83,83,82,81,80,79,77,22,20,19,18,18,21,24,30,36,43,49,54,57,59,61,62,64,66,69,71,74,77,79
70,73,75,76,77,77,77,77,76,22,19,17,14,11,11,13,16,20,26,32,37,42,45,48,50,51,54,56,59,61,65,68
70,72,74,75,76,76,76,75,75,24,21,19,16,14,15,15,19,23,28,34,39,43,46,49,50,52,54,56,59,62,64,67
46,44,42,40,39,38,37,36,36,67,69,72,75,78,80,82,82,80,77,74,70,67,64,62,60,59,58,57,55,53,51,49
56,56,56,56,56,56,56,55,55,46,46,46,46,46,47,48,49,50,51,52,53,53,54,54,54,54,54,55,55,56,56,56
98,98,97,93,89,85,81,78,75,27,28,31,34,40,49,59,70,79,86,91,93,93,93,91,89,92,94,96,98,98,100,100
34,34,35,36,37,38,40,41,42,59,59,58,57,55,53,49,46,42,39,38,37,37,37,38,38,37,36,35,35,34,34,33
86,83,80,77,74,70,67,64,62,40,42,46,50,56,63,71,80,86,89,92,92,90,88,86,83,85,87,88,89,89,89,88
98,99,97,93,90,87,83,80,77,24,25,27,30,35,43,52,62,71,78,84,87,88,88,87,85,88,91,93,97,99,98,98
94,93,92,90,88,85,82,80,77,23,23,24,26,30,36,44,52,61,68,74,77,79,80,79,78,81,83,86,88,91,92,93
50,50,49,49,49,48,48,48,48,54,54,55,56,56,58,58,58,58,57,57,56,55,55,54,53,53,53,53,52,52,52,51
54,56,57,58,59,59,60,60,60,40,38,37,35,33,32,32,32,33,35,37,39,41,43,45,46,46,47,48,49,50,51,53
52,48,45,42,39,37,35,34,33,71,74,79,84,89,97,92,98,95,94,91,85,80,76,73,69,69,68,66,64,62,59,55
28,25,23,21,20,20,20,21,21,83,86,89,92,98,98,92,92,86,79,73,67,61,58,55,52,50,48,45,42,39,35,32
17,15,14,14,15,16,17,19,20,83,85,86,87,87,85,81,75,67,59,53,48,44,41,40,38,36,33,30,27,24,21,19
