region_names,moments_1,moments_2,moments_3,moments_4
1,18382.636368655,3303.76085359873,-1.43602111313239,4.28818339113526
2,18616.2043430042,2386.56616201137,-1.24026476908121,4.26540168802312
3,19868.7486344017,2686.66966878828,-1.16285018605222,3.99903551708681
4,17450.6857068188,2513.93756272922,-1.69065343584361,5.38167078427054
5,20228.3457261475,4016.02570307903,-1.17065851625793,3.69540187960125
6,15677.6752336637,1969.6798778375,-1.96465738433033,6.07137953908745
7,18306.6022713991,3136.20212313185,-1.49422623900576,4.52290560991644
8,14719.4950541611,1891.80970106326,-2.06851518100954,6.78165127923265
9,17108.4266166757,2347.93857948269,-1.77406329310261,5.63576846923262
10,15797.0588617607,1582.4441530643,-1.19090524230249,4.26080866398162
11,17728.2987958881,3018.40556092643,-1.37713530558883,4.22550031534981
12,21403.9104401244,3662.30283712924,-0.898139949275076,3.08110198135725
13,17362.4001141709,2512.40801590661,-1.70287170042093,5.53420406349524
14,16640.3430120623,2501.55936443188,-1.7053258186459,5.41144938188405
15,18552.0998813898,2689.79110013572,-1.38262195903041,4.56816476813812
16,19915.4420735799,3353.98919331662,-1.21483971436474,3.89886708581337
17,18138.5118193457,2941.06707649372,-1.58507495097648,4.85452010591436
18,20678.3349628108,3649.75539792076,-1.30492024250336,4.10592522614102
19,17398.0819268119,2370.78981109359,-1.44824206174449,4.77303758866586
20,17822.2902933896,1652.5481593947,-1.66292807692416,6.09566936310491
21,15894.3900604667,2021.81263034718,-1.93736146201913,5.99704973306882
22,15781.0281458143,2438.08716209006,-1.9187360455301,5.869582445905
23,19083.350561336,2417.11263075022,-1.31945394063266,4.45374661924641
24,18883.3701978377,2414.0170459014,-1.51817148265434,5.21195413052327
25,16405.0860073841,2190.68720001796,-1.73089119007721,5.41271003261352
26,19299.8728642326,2814.66176804603,-1.19694181764237,3.97380576233228
27,17053.7720429969,2227.24129266511,-1.67015856979281,5.68517715260354
28,16024.2133880794,2488.34644509621,-1.80753540643848,5.67536211170395
29,16621.3762201852,2393.36625122885,-1.65219513391762,5.1358042430084
30,16634.9506146889,2116.15616609663,-1.50381000954002,4.98487133009988
31,16655.2399565037,3010.79139115906,-1.66947524054228,5.03383463706535
32,20338.3268500663,2708.90797294566,-1.05838479498283,3.83411163827968
33,18844.8552163343,2893.91364435597,-1.22927923900362,4.04263161026326
34,19064.7924832946,2818.87561077757,-1.65345881215901,5.28358429531816
35,14931.4972853577,2117.83415158415,-1.83451542494816,5.6830040802427
36,17913.3209289657,3103.31568068307,-1.6627125086171,5.04406932014968
37,15506.8333870389,1822.02335718108,-1.68429114808297,5.08874405583094
38,17044.0684808377,2455.09454891587,-1.71974477587869,5.35840171625408
39,18376.2466871699,2846.64637410435,-1.56045925635385,4.88096360659908
40,15457.3375346563,2404.3937007712,-1.37134786809297,4.37617824541013
41,20780.4064353441,3841.64466890539,-1.23098636377618,3.92182371136627
42,19510.6505565634,3340.9383598782,-1.28014115049795,4.16728993755483
43,19677.765660892,3051.12438892259,-1.29532675230064,4.28154246300654
44,17834.8289040714,1628.51897028308,-2.29457459063785,7.71634441779743
45,17854.9946050654,3155.95469188268,-1.70886246360998,5.13865873365419
46,16597.4980636611,2187.66803039857,-2.15841087166489,6.84436214109548
47,14233.6602691437,1760.57281545124,-1.92528041168199,6.15872131099015
48,15341.7314464675,2219.00632922564,-1.6531447315889,5.29618731441045
49,14815.5335474169,1916.62975375793,-2.07961584037323,6.56086131065077
50,17014.7572459567,2248.67243499021,-1.73539320818658,5.47703115859152
51,16715.1626732078,2510.04471563227,-1.92795092338215,5.92470823239801
52,20532.3420723125,3458.48448979762,-1.2161804977865,3.98228816728036
53,15947.2132774911,1842.90853589483,-1.80021464596653,6.21044605446198
54,17575.5491469888,2395.86644356662,-1.19220795761875,4.13489568428926
55,18230.9424962877,2589.95569712105,-1.29679960021458,4.51502249693306
56,16090.4496934116,1680.44358206005,-2.01674501272051,6.41638026851638
57,19079.0524357853,2669.0944787759,-1.29642328962881,4.45802786700347
58,18566.8978550455,2774.90234684297,-1.60883084198523,5.09356346514665
59,15555.5143865793,2097.09213957005,-1.88801610115797,5.91803858163889
60,15638.1119265776,1923.98003296934,-1.41634050404518,4.65045779802139
61,19019.1227013854,2893.31934008643,-1.41402886730992,4.46409599741307
62,17482.753834932,2435.17943297501,-1.74425408219267,5.42095889722566
63,18040.6850571736,2594.9728185639,-1.69222210513408,5.20167813953206
64,18091.1817556917,2309.29581619292,-1.297829509747,4.59397033544676
65,19011.2213441844,2695.60434376677,-1.53914549776786,5.10141778130157
66,16026.69346062,2294.61150204458,-1.74289732673717,5.39268623893902
67,18178.9255155941,3167.43299771988,-1.70671519998726,5.11584429199307
68,19768.3352631107,3199.03216289403,-1.31779722963803,4.28958783668502
69,17755.9224683211,2399.13120488542,-1.51327794185244,4.84042756733754
70,18005.434395653,2927.55345359614,-1.2312809166189,3.71466145975372
