region_names,moments_1,moments_2,moments_3,moments_4
7Networks_LH_Vis_1,19433.0788332307,3019.01685511785,-0.997766310979947,3.3871650064725
7Networks_LH_Vis_2,20930.8419971184,3651.99439877201,-0.951936615275287,3.32201427941891
7Networks_LH_Vis_3,20493.17330494,3075.31004789924,-1.22401315324192,4.15856869519524
7Networks_LH_Vis_4,21174.5305107243,4116.26931043629,-0.951857097544308,3.26623375023191
7Networks_LH_Vis_5,19225.6591181287,3066.89314331243,-1.51420656058391,4.79429712634219
7Networks_LH_Vis_6,17476.2207181487,2613.97374081511,-1.36571150446604,3.96658574391404
7Networks_LH_Vis_7,20087.4526160115,3523.04888259697,-1.56560621403169,4.77384644428776
7Networks_LH_Vis_8,19716.0042433973,2620.93251199814,-1.23184061888657,4.31516879529514
7Networks_LH_Vis_9,19079.8942713811,3233.24035338384,-1.27467471948488,4.16089798237587
7Networks_LH_Vis_10,19823.222516744,3761.28379651184,-1.4071454480969,4.28473376972283
7Networks_LH_Vis_11,19752.3539635826,3529.37436950197,-1.19552812438397,3.97614032805791
7Networks_LH_Vis_12,19090.8702467921,3371.04770913393,-1.26748994959184,4.08433751785694
7Networks_LH_Vis_13,19909.126155919,3846.54309548856,-1.1890450051124,3.79485411792634
7Networks_LH_Vis_14,18929.8278333753,3661.9668297816,-1.12241705800599,3.80376939909345
7Networks_LH_SomMot_1,17827.0218947671,2897.25660074492,-1.57777873704841,4.7911899986757
7Networks_LH_SomMot_2,18530.6609799856,2796.51719352389,-1.61920541147024,5.23011260009212
7Networks_LH_SomMot_3,16155.3628858288,2663.62193880699,-1.71024943342513,5.29830778195278
7Networks_LH_SomMot_4,18274.5471305317,2716.41108953817,-1.65061408410465,5.12557019220236
7Networks_LH_SomMot_5,17828.50424082,2604.41861971246,-1.98661701689788,6.32896825460821
7Networks_LH_SomMot_6,18066.5176347171,3210.21016290897,-1.32972838584913,4.02148464436839
7Networks_LH_SomMot_7,17042.7653198573,2908.0460424089,-1.59996953971127,4.85608432291366
7Networks_LH_SomMot_8,16904.9329772339,2707.49380275788,-1.63508651003079,4.98337880056315
7Networks_LH_SomMot_9,18182.7363172742,3123.00852549457,-1.73316511063228,5.32639939094326
7Networks_LH_SomMot_10,17858.3779711017,3176.49330550147,-1.45478021076226,4.43799683347363
7Networks_LH_SomMot_11,17931.0363967682,2734.46834697871,-1.42803298617451,4.5763162069879
7Networks_LH_SomMot_12,17649.1027918945,2424.37759135831,-2.05010827422946,6.68634814492901
7Networks_LH_SomMot_13,18235.1299630324,3479.99954883429,-1.46441033485524,4.35667863301591
7Networks_LH_SomMot_14,17400.7903209338,2425.91226903963,-1.7798069561798,5.78396180399716
7Networks_LH_SomMot_15,18430.5732727589,2966.05451972746,-1.6255760197969,4.87399616355703
7Networks_LH_SomMot_16,17247.764994312,2931.90375304721,-1.49508210949325,4.60852540307441
7Networks_LH_DorsAttn_Post_1,19263.6054802288,2583.28630494651,-1.08765817520942,3.77891071066732
7Networks_LH_DorsAttn_Post_2,20596.5039852425,3011.82537401068,-1.13558945593323,3.86946239731435
7Networks_LH_DorsAttn_Post_3,18346.6511290629,2641.66320877436,-1.14940406718485,4.09170331840476
7Networks_LH_DorsAttn_Post_4,18599.326684951,2492.57572330131,-1.4852642084848,4.86388708637689
7Networks_LH_DorsAttn_Post_5,16995.0390012498,2095.8272473834,-1.44596641720902,4.96306796444768
7Networks_LH_DorsAttn_Post_6,16571.481138781,2199.65561106161,-1.37567363222304,4.37789103142807
7Networks_LH_DorsAttn_Post_7,20569.9901403707,3513.71622738426,-1.19924887876766,3.92877785471014
7Networks_LH_DorsAttn_Post_8,18375.2353285924,3021.69347107958,-1.39239116152546,4.3568532065536
7Networks_LH_DorsAttn_Post_9,20069.0166757485,3263.97511863042,-1.37461362717019,4.3389049464806
7Networks_LH_DorsAttn_Post_10,18697.0086331049,3050.10447248628,-1.49617161835132,4.62803463494196
7Networks_LH_DorsAttn_FEF_1,16298.3034763798,1418.35979465582,-2.09817580943798,7.51215965098496
7Networks_LH_DorsAttn_FEF_2,16555.4652754021,1751.20819477861,-2.0084219195778,6.95954286095735
