region_names,moments_1,moments_2,moments_3,moments_4
L_V1_ROI,0.0390424484295941,0.355887220514146,-0.106842302229894,2.17791658341221
L_MST_ROI,0.0750635405295783,0.527878184194805,1.39869601299153,3.71175184003695
L_V6_ROI,-0.283968940261893,0.191667584211882,-0.571719968108455,1.88709443301489
L_V2_ROI,-0.0459732008183379,0.167329348129652,-0.428219188572584,1.61286233623709
L_V3_ROI,0.110595476380362,0.265099972236088,-0.814612330914673,2.59329498157281
L_V4_ROI,0.106220129397268,0.25047713185933,-0.00682893984243008,1.69911094021178
L_V8_ROI,0.829353105652366,0.488476618987075,0.054117214388611,1.22016706588882
L_4_ROI,0.131213954831325,0.277008548862758,0.133502415633387,1.7872823710257
L_3b_ROI,0.273658725615363,0.522639491420433,-0.884748823493345,2.37585312890406
L_FEF_ROI,-0.433757853465202,0.255789606868461,0.260716145247603,2.55241060299619
L_PEF_ROI,-0.301404865014594,0.26869530168897,1.42498809590312,3.57605291139383
L_55b_ROI,-0.301217545814207,0.133562835016057,-0.2474675301988,1.49843905992639
L_V3A_ROI,-0.390122121160597,0.38032880450078,-0.233451362746926,1.99575070283122
L_RSC_ROI,-0.135237436811991,0.193149770312281,0.484554773069801,3.29828218932567
L_POS2_ROI,0.410974372298588,0.265493921410836,-0.576945029642642,2.31098981693131
L_V7_ROI,-0.910989322622843,0.209985427436062,-0.763964485593802,2.37337155235685
L_IPS1_ROI,0.43153141116306,0.161283066950046,-0.181124689757422,2.3149664851742
L_FFC_ROI,0.895213184948547,0.269352286851537,-0.234130441207512,1.51331310369246
L_V3B_ROI,-0.421098497698906,0.303370850977785,0.0071870214132498,2.00662308522124
L_LO1_ROI,-0.086696917607788,0.195838004528969,-0.57888089240961,3.11319443833406
L_LO2_ROI,0.204093526500374,0.175783376914013,-0.440923804396038,1.98581080757117
L_PIT_ROI,-0.000408185136324998,0.143507824624292,0.449990125582969,1.76357556704161
L_MT_ROI,0.029682907628624,0.206915359106923,0.568978068792751,2.14507524995782
L_A1_ROI,0.0605865871991952,0.60063562067766,-1.38088223601937,3.52700107643816
L_PSL_ROI,0.476038640461505,0.119718529389904,-0.110013781329699,1.85118714748203
L_SFL_ROI,0.243134999277318,0.231978376715917,-1.40629822922446,4.21702621019235
L_PCV_ROI,-0.0242982643715989,0.148432494110146,0.753395624263705,2.92296713231519
L_STV_ROI,0.51323742075175,0.153803219947401,-0.0770911580432694,2.76391891611195
L_7Pm_ROI,0.909116196873012,0.238313675560203,-0.250583127230535,1.75713532240409
L_7m_ROI,0.346008744629847,0.258289909823424,0.215218486010117,1.61386866220475
L_POS1_ROI,-0.217670287529104,0.0996320252242413,0.0469970034426454,2.03464657056348
L_23d_ROI,0.0196784179872271,0.17089753065151,-0.168089902411603,2.04493191525487
L_v23ab_ROI,-0.264689650617329,0.290198900352052,1.1601874426314,3.24151905510146
L_d23ab_ROI,-0.173150986438483,0.326870700762656,0.0585775207650024,1.89879566125766
L_31pv_ROI,-0.318584624849382,0.423108619007318,1.20321352791397,3.03624884278432
L_5m_ROI,-0.735380142315081,0.20415888141626,0.949115071484631,3.48399645646871
L_5mv_ROI,-0.578523439409823,0.18446332510314,0.945004120666356,2.69958106855025
L_23c_ROI,-0.297937162020653,0.143537028357735,-0.0447519043376947,1.92726356891235
L_5L_ROI,-0.079544517864212,0.172067203991884,0.606060500072084,2.23707090158133
L_24dd_ROI,-0.338602527721196,0.166735499765394,-1.29774185935595,3.48164446202289
L_24dv_ROI,-0.396177721189199,0.133761097517419,-0.428690462140362,2.38231218736306
L_7AL_ROI,-0.0305466040902579,0.0707956051153609,1.68891611153708,4.90153825459929
L_SCEF_ROI,-0.0441590938126153,0.21105062351271,-0.81126365655596,2.84418172357559
L_6ma_ROI,0.284311243564375,0.143654159100815,-0.651789748946257,3.08226479867001
L_7Am_ROI,0.620585087416294,0.243998481529803,-0.118537586884443,3.16251600346456
L_7PL_ROI,0.77244625927401,0.212146812402882,-0.678533251753855,2.77622456330837
L_7PC_ROI,-0.375824549256679,0.110199869982394,0.657392467353327,3.54225319389942
L_LIPv_ROI,-0.504932988727274,0.120831183236647,-0.195629168959585,2.68373801605583
L_VIP_ROI,0.37825224133263,0.3503842810675,-0.747908019505581,2.78217308557827
L_MIP_ROI,-0.46214127044466,0.171926627166468,0.209921072955963,2.03170337972685
L_1_ROI,0.297007740518225,0.402037847231884,-1.35868912147657,3.66322809100173
L_2_ROI,-0.0142580967515186,0.0633103933906623,-0.073605712006667,1.65244333042751
L_3a_ROI,-0.155974731007368,0.397804924542048,-0.223398759614443,2.08059350761985
L_6d_ROI,0.142529804064733,0.259539762120651,-0.633025221897519,3.29030418978084
L_6mp_ROI,0.206040848609084,0.179770614568115,0.330655554112393,2.15794149378229
L_6v_ROI,0.309893577702716,0.0803282603116708,-0.143384559775202,2.08922879243776
L_p24pr_ROI,-0.31341790656166,0.340809011163035,-0.415152504318703,1.96224198723054
L_33pr_ROI,-0.494311856929051,0.218170623446992,0.341143865514583,3.38254733551512
L_a24pr_ROI,-0.0215290728955752,0.100218501841798,0.700997714548727,2.25164742530342
L_p32pr_ROI,-0.257845624349186,0.182682296492295,-0.737858004314816,3.08951628523373
L_a24_ROI,-0.215958743886954,0.21285021312868,0.540685721930272,2.98529970050949
L_d32_ROI,-0.103807867030693,0.120889741136889,0.751501239023919,2.72885224848529
L_8BM_ROI,0.478843487647575,0.293979765530059,-1.81315062556472,4.86012538315376
L_p32_ROI,-0.0398090652789614,0.171026052590009,0.692080600174107,2.09354810515295
