region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
17Networks_RH_DorsAttnB_TempOcc_1,19330.8772584767,19090.5367442324,18420.0509612145,18703.346876559,19812.7552680438,21292.4246231894,23018.2684354818,24092.8612942834,23044.227675596,22133.8517795006,21780.5384940172,21526.1258857748,21438.9588432618,21289.5925934806,20586.2310718423
17Networks_RH_DorsAttnB_PostC_1,18113.5335586308,18044.5889269062,17942.0872620568,18346.9116409354,19463.2598820535,20824.1351008047,21887.6077450742,22294.0329623823,22048.22758845,21470.7662165353,20983.3454099768,20528.9181451751,20283.764006386,20143.6053266409,19371.0947555996
17Networks_RH_DorsAttnB_PostC_2,18592.1727053753,18444.730966477,17768.0235702817,17814.0691937464,18654.0612204873,19916.3802691916,20672.2260175789,20976.7101006731,20679.0783757142,20111.6775339819,19636.7967965553,19297.1226789505,19305.7658413577,19426.4465287179,19094.6552595936
17Networks_RH_DorsAttnB_PostC_3,17363.7886522213,17486.7974887759,17286.7950365799,17427.4730837754,17958.1527338715,18684.9200141096,19693.5484425069,19913.5059813971,19582.0761549005,19355.2066386358,19002.538198359,18563.3173360689,18198.8314429204,17927.0367743807,17508.5789281499
17Networks_RH_DorsAttnB_PostC_4,16586.6266410932,16715.5354257127,16652.9895539516,17050.2973069031,17689.1797940199,18630.7110463038,19368.9620569304,19739.7387210101,19551.9029000684,19151.2770554538,18616.4859164976,18139.8895534746,17970.4876715424,18022.7804208245,17499.049246915
17Networks_RH_DorsAttnB_PostC_5,14727.2429512917,14844.143006535,14808.0805627211,15130.2976158119,15855.2074071608,16730.6590391902,17413.6447835142,17739.3165945928,17499.0269757882,17139.6214629604,16546.6173576259,16007.6428127333,15732.8672554164,15573.9022895818,14819.0501714855
17Networks_RH_DorsAttnB_PostC_6,16729.7311019966,16519.6854002686,16197.133231503,16495.0504550561,17321.9089389024,18298.8608923995,18977.0312284701,19218.2950245679,19005.3061512596,18595.8674688692,18108.4782780094,17589.8074337915,17388.9405897825,17402.8932078753,16992.8248356107
17Networks_RH_DorsAttnB_PostC_7,17008.7245785724,17474.5770409362,17250.198715102,17524.6311699627,18306.9801244662,19518.7171437631,20665.2176951563,21073.7944805487,20780.0365992654,20143.8550845116,19524.2414371662,18966.3730039261,18709.1479859141,18576.9403146169,17948.4312318356
17Networks_RH_DorsAttnB_PostC_8,18781.7033671741,19158.4934867664,19287.2306209779,19869.0866811721,21024.727393376,22283.3696187239,23182.1640318907,23783.8772473766,23535.6417795061,22930.8671340798,22417.8314163711,22272.4518666603,22234.0453521657,21859.8453349194,21073.2042376075
17Networks_RH_DorsAttnB_PostC_9,19034.7939849779,19264.7505833682,19298.5245305065,20005.5708170373,21079.0754680202,22115.9010670576,22950.5193170476,23634.7698666032,23132.8920055348,22184.9765936472,21646.2929496803,21481.2423787521,21638.4617731644,21423.8357304155,20657.0988825466
17Networks_RH_DorsAttnB_PostC_10,17582.3164680814,17828.6786678225,17944.7915009029,18370.501796539,19097.8113555289,20082.8558394203,20929.4429717569,21366.7595701188,21068.1865601224,20618.0382494717,19970.0346245492,19749.1912520329,19678.7731753652,19541.2654400886,19197.7120077447
17Networks_RH_DorsAttnB_PostC_11,16667.9507068042,16871.7862879226,17009.7050851082,17887.8164437647,19131.8240399287,20424.2362115522,21273.8313508735,21617.2155890561,21358.8890428438,20737.6563015992,20081.7999108079,19694.6782425264,19610.3439204161,19741.2317206362,19136.8104235815
17Networks_RH_DorsAttnB_PostC_12,17518.0197505395,17495.1339775997,17432.6498295132,18131.1923729974,19260.5774512596,20475.2716106554,21140.574411793,21640.8891928953,21470.9688403086,20868.3241002576,20280.2888532663,19700.3177776912,19665.9263177914,19804.8183813909,19252.785306559
17Networks_RH_DorsAttnB_PostC_13,17531.5273032599,17810.7488516301,17910.5228182537,18663.6797432282,19582.9044567785,20564.9318013458,21471.1875903687,21847.567253399,21615.2981245408,20972.4840162826,20331.650195048,20126.2474289086,20087.6249244555,20073.0094082546,19472.6950534031
17Networks_RH_DorsAttnB_FEF_1,17342.9385205447,16944.7993051569,16462.2727409516,16586.5625153144,17346.5940828895,18264.1890841483,19143.7382953469,19309.0391589132,19143.084048203,18792.5524541347,18572.9481366864,18249.3363976802,17929.7883286644,17791.2250864244,17394.7311711836
17Networks_RH_DorsAttnB_FEF_2,17216.2083174195,16903.820552689,16426.8133280186,16565.888027851,17059.3619321006,17766.7377269809,18428.1242075838,18749.4503042614,18537.3064067102,18213.1334967907,17947.859600739,17567.8848199494,17184.2494157188,17000.8284401889,16526.0327703245
17Networks_RH_DorsAttnB_FEF_3,16633.7212848764,16030.3368399622,15861.2765222748,16206.8909269814,16703.7385943824,17472.3399357179,18050.5967461021,18317.9528942181,18106.0169175338,17896.1488077708,17602.7616653519,17220.8640523246,16893.1509170321,16556.9397222038,15894.5976636095
17Networks_RH_DorsAttnB_FEF_4,17889.0794491059,17200.2546575774,16504.8976413084,16475.1732014357,16775.8229658881,17310.4707503816,17821.6769488275,18097.025765534,17711.8715668503,17316.8292292263,17136.3363971241,16988.4472682745,16666.7074732478,16608.82058605,16347.5450920634
17Networks_RH_DorsAttnB_FEF_5,17648.6783755707,16924.5234289907,16429.2161783577,16419.3782664469,16697.7312730381,17082.1042300488,17534.5247411429,17720.579045749,17556.2742309537,17266.0382134577,16967.0478606601,16592.2198513407,16185.9026244481,15829.174894616,15152.8818972262
17Networks_RH_DorsAttnB_FEF_6,17519.6133583203,16584.4648955214,16227.7781587856,16499.5718878284,17128.3164361806,17940.2293696657,18557.5634426662,18794.5086356172,18504.8362921889,18298.0162511683,18070.1855646585,17837.9688146538,17448.2034122257,17187.6932442887,16715.6377925746
17Networks_RH_DorsAttnB_PrCv_1,17109.4995731209,16846.4555365324,16268.5677005241,16338.6832755167,16844.036199895,17631.8351648456,18360.6838730144,18630.3239978808,18338.8652006864,17897.5611465138,17578.3840199477,17385.2834708443,17329.8609111529,17293.4380701521,16998.2402759719
17Networks_RH_DorsAttnB_PrCv_2,16933.4594732583,16564.0857922394,16017.2248816886,16092.9986275281,16623.7888208818,17307.5332899712,18026.5592864021,18264.4877334586,18010.5227508933,17655.6763254629,17398.6445004717,17178.0329493579,16971.4467190599,16876.32787786,16607.7688753643
17Networks_RH_SalVentAttnA_ParOper_1,18093.4273136013,17931.7886018187,17745.5443599703,18274.4839114226,19303.5554542482,20656.012790982,21654.5003635651,22108.7464947736,21794.0701203457,21073.1199474743,20561.9739767871,20146.8890774684,20032.7568796497,20147.1286641532,19741.1463625443
17Networks_RH_SalVentAttnA_ParOper_2,18223.791674534,17645.2886445222,17101.4277697379,17751.6919932411,19039.9877749666,20613.4306295298,21896.7006944747,22446.5537208063,21761.7107276897,20798.4033880725,20392.0864480792,20126.4605583627,20314.9255257897,20282.8906726559,19552.9073200374
17Networks_RH_SalVentAttnA_ParOper_3,16824.9269944638,16585.641620987,15949.7752957346,16048.9084258196,16696.3917012083,17612.8952593968,18263.0663750911,18544.6229965367,18317.4661255459,17898.7973581781,17568.2116322917,17282.0945226973,17144.6238981675,17255.8846894481,16920.0422240244
17Networks_RH_SalVentAttnA_ParOper_4,18668.1915943297,18679.0576735185,18055.7950544544,18085.0223076549,18818.1492876011,19813.9620183627,20577.7855427018,21091.0759174473,20844.1031398176,20227.6225405238,19795.6389375268,19411.9678736232,19245.9033311482,19450.7815086113,19055.9333844992
17Networks_RH_SalVentAttnA_ParOper_5,18860.3220468078,18445.8055068383,17894.7413629839,18390.1114198932,19565.2688546576,20930.4658684166,21613.9697259381,22041.7450800804,21476.0673323381,20671.5313354302,20338.9398751474,20271.124060167,20421.9260752241,20698.5111484051,20360.9502942986
17Networks_RH_SalVentAttnA_ParOper_6,17637.826015295,17343.7880640496,16819.223303553,16978.7421672246,17866.1443690471,18956.1331494897,19612.654392099,20033.0320899996,19725.4342490932,19320.3094052157,18950.2577635239,18672.1678191669,18546.9451813603,18561.81471216,18231.7004124524
17Networks_RH_SalVentAttnA_ParOper_7,19066.442703215,18878.4378700782,18701.4883425444,19116.907752687,20083.8741172517,21232.9716112462,22314.1507656222,22927.5539672345,22551.8192957362,21840.3556452881,21143.4049362061,20815.5597130952,20624.2326980701,20622.2930430314,20051.154324966
17Networks_RH_SalVentAttnA_ParOper_8,19160.13077397,19132.0572949127,18392.667874792,18386.4804139462,19120.3303358689,20178.4103370012,21003.621935927,21302.9109837476,20875.6397947548,20297.3538031468,19731.3369335648,19501.724094457,19483.9645928775,19708.058116448,19414.3127907702
17Networks_RH_SalVentAttnA_ParOper_9,18872.4062862373,18675.2051287318,17957.2588304647,18034.2555557967,18846.0561206654,20015.7201412299,20731.4243402919,21014.7284924469,20738.453116738,20049.250786237,19713.6546965417,19463.1191341468,19683.9873905029,19825.7290731364,19480.6476630795
