61E3.4
A1BG
A1CF
A26C1B
A2BP1
A2LD1
A2M
A2ML1
A3GALT2P
A4GALT
A4GNT
AAAS
AACS
AADAC
AADACL1
AADACL2
AADACL3
AADACL4
AADAT
AAED1
AAGAB
AAK1
AAMP
AANAT
AARD
AARS
AARS2
AARSD1
AASDH
AASDHPPT
AASS
AATF
AATK
ABAT
ABCA1
ABCA10
ABCA11P
ABCA12
ABCA13
ABCA17P
ABCA2
ABCA3
ABCA4
ABCA5
ABCA6
ABCA7
ABCA8
ABCA9
ABCB1
ABCB10
ABCB11
ABCB4
ABCB5
ABCB6
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC11
ABCC12
ABCC13
ABCC2
ABCC3
ABCC4
ABCC5
ABCC6
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF3
ABCG1
ABCG2
ABCG4
ABCG5
ABCG8
ABHD1
ABHD10
ABHD11
ABHD12
ABHD12B
ABHD13
ABHD14A
ABHD14B
ABHD15
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3
ABI3BP
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABO
ABP1
ABR
ABRA
ABT1
ABTB1
ABTB2
AC002351.1
AC002472.1
AC002472.8
AC002472.9
AC002511.1
AC002563.2
AC003999.1
AC004053.1
AC004080.12
AC004241.1
AC004381.2
AC004409.1
AC004690.2
AC004790.2
AC004797.1
AC004863.6
AC004980.7
AC005014.1
AC005041.9
AC005077.3
AC005152.2
AC005277.1
AC005301.1
AC005358.1
AC005393.1
AC005488.13
AC005512.1
AC005551.1
AC005829.1
AC005921.3
AC005962.2
AC006014.8
AC006273.1
AC006276.1
AC006517.3
AC007276.5
AC007364.1
AC007405.8
AC007510.1
AC007601.1
AC007688.2
AC007743.1
AC007952.2
AC008026.2
AC008073.1
AC008073.2
AC008074.2
AC008132.4
AC008429.1
AC008449.1
AC008537.3
AC008687.3
AC008735.3
AC008806.1
AC008875.1
AC008969.2
AC009086.2
AC009093.1
AC009107.3
AC009123.1
AC009139.1
AC009163.1
AC009171.1
AC009236.1
AC009365.1
AC009509.1
AC009532.1
AC010087.3
AC010203.2
AC010325.3
AC010332.1
AC010336.2
AC010422.1
AC010442.2
AC010606.4
AC010624.2
AC010645.1
AC010896.1
AC010974.2
AC010980.2
AC010982.1
AC011346.1
AC011427.1
AC011443.1
AC011472.2
AC011479.2
AC011498.2
AC011498.3
AC011500.2
AC011511.1
AC011530.1
AC012100.1
AC012435.1
AC012621.2
AC012652.1
AC013271.3
AC013283.1
AC013356.1
AC013356.3
AC013400.2
AC013402.2
AC013553.1
AC013553.2
AC015871.2
AC015936.3
AC016525.1
AC016629.3
AC016683.6
AC016747.3
AC016757.1
AC017096.1
AC017099.3
AC018682.6
AC018755.8
AC018865.8
AC019171.4
AC020663.1
AC021054.1
AC021148.2
AC021534.2
AC021850.1
AC021860.1
AC022075.1
AC022098.1
AC022098.3
AC022100.1
AC022311.1
AC022498.2
AC022596.6
AC022748.1
AC023024.1
AC023055.2
AC023510.2
AC023830.2
AC024270.1
AC024560.3
AC024575.2
AC024575.3
AC024940.3
AC025627.16
AC025647.1
AC026369.2
AC027323.1
AC034193.5
AC034199.2
AC034236.3
AC044839.2
AC055839.1
AC058791.2
AC062028.1
AC063965.2
AC063977.1
AC066593.1
AC068020.3
AC068057.2
AC068181.1
AC068353.1
AC068385.1
AC068491.1
AC068580.3
AC068658.1
AC068989.2
AC069029.1
AC069154.2
AC069234.1
AC069525.1
AC073043.2
AC073135.1
AC073343.8
AC073346.1
AC073548.1
AC073869.20
AC074286.1
AC078802.1
AC078847.1
AC078937.4
AC079061.1
AC079341.1
AC079776.2
AC079953.2
AC084018.1
AC084125.1
AC084209.1
AC084851.1
AC087309.1
AC087392.3
AC087645.1
AC087742.2
AC090099.4
AC090360.1
AC090844.1
AC091152.2
AC091565.3
AC091878.1
AC092070.4
AC092070.5
AC092143.3
AC092324.1
AC092327.1
AC092329.2
AC092384.2
AC092436.3
AC092490.2
AC093063.1
AC093283.3
AC093310.1
AC093734.11
AC093838.4
AC093849.1
AC094086.1
AC096655.2
AC097067.1
AC098591.2
AC098799.1
AC099524.1
AC099797.1
AC100756.1
AC100775.1
AC100793.2
AC100793.3
AC100803.1
AC103540.1
AC103965.1
AC104665.1
AC104819.1
AC105206.1
AC105337.1
AC105391.2
AC106037.2
AC106739.1
AC106818.2
AC107212.1
AC107883.1
AC107983.3
