list_AB,banana,episodic_trials_loop.thisRepN,episodic_trials_loop.thisTrialN,episodic_trials_loop.thisN,episodic_trials_loop.thisIndex,Trial_start,Position1,Position2,Position3,key_response.keys,key_response.corr,Fixation duration,Participant,Session,frameRate,expName,Word-pair list,date,
A,Episodic_Encoding/Episodic_Encoding_ListA/16.jpg,0,0,0,15,4.05311584473e-06,0,0.5,-0.5,None,0,2.5,,001,60.1278735715,Episodic Encoding Task,A,2017_Nov_15_1106,
A,Episodic_Encoding/Episodic_Encoding_ListA/6.jpg,0,1,1,5,1.90734863281e-06,-0.5,0.5,0,None,0,2.5,,001,60.1278735715,Episodic Encoding Task,A,2017_Nov_15_1106,
