list_AB,wordpair,episodic_trials_loop.thisRepN,episodic_trials_loop.thisTrialN,episodic_trials_loop.thisN,episodic_trials_loop.thisIndex,Trial_start,Position1,Position2,Position3,key_response.keys,key_response.corr,Fixation duration,Participant,Session,frameRate,expName,Word-pair list,date,
A,Episodic_Encoding/Episodic_Encoding_ListA/22.jpg,0,0,0,21,4.05311584473e-06,0,0.5,-0.5,None,0,2.0,,001,60.133390681,Episodic Encoding Task,A,2017_Nov_15_1103,
A,Episodic_Encoding/Episodic_Encoding_ListA/14.jpg,0,1,1,13,2.86102294922e-06,0.5,0,-0.5,None,0,3.0,,001,60.133390681,Episodic Encoding Task,A,2017_Nov_15_1103,
A,Episodic_Encoding/Episodic_Encoding_ListA/1.jpg,0,2,2,0,4.05311584473e-06,0.5,0,-0.5,None,0,1.5,,001,60.133390681,Episodic Encoding Task,A,2017_Nov_15_1103,
A,Episodic_Encoding/Episodic_Encoding_ListA/11.jpg,0,3,3,10,3.09944152832e-06,0,0.5,-0.5,None,0,1.5,,001,60.133390681,Episodic Encoding Task,A,2017_Nov_15_1103,
A,Episodic_Encoding/Episodic_Encoding_ListA/5.jpg,0,4,4,4,4.05311584473e-06,-0.5,0,0.5,None,0,1.5,,001,60.133390681,Episodic Encoding Task,A,2017_Nov_15_1103,
